tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,3434.45,0,38381.2,0,486011,0,7685.95,0
20,0,1744.55,0,19884.6,0,246557,0,3990.56,0
40,0,817.804,0,9189.33,0,116354,0,1845.21,0
60,0,420.999,0,4738.25,0,58753.6,0,937.303,0
80,0,221.956,0,2501.96,0,31654.3,0,505.871,0
100,0,131.329,0,1483.5,0,18747.7,0,301.771,0
120,0,77.78,0,879.33,0,11087.8,0,181.083,0
140,0,45.1486,0,513.366,0,6442.48,0,108.035,0
160,0,28.087,0,322.614,0,4009.27,0,70.4487,0
180,0,17.1455,0,199.862,0,2449.61,0,45.76,0
200,0,10.3691,0,122.662,0,1486.6,0,30.5755,0
220,0,6.18663,0,77.8909,0,891.272,0,21.0962,0
240,0,3.81787,0,51.2306,0,553.398,0,15.2622,0
260,0,2.58545,0,37.4261,0,377.44,0,12.1623,0
280,0,1.69802,0,27.2828,0,250.811,0,9.67963,0
300,0,1.14265,0,20.6317,0,171.833,0,7.81145,0
320,0,0.751329,0,15.2859,0,115.404,0,6.09692,0
340,0,0.50923,0,11.5888,0,79.4291,0,4.81377,0
360,0,0.384663,0,9.71541,0,60.4219,0,4.11332,0
380,0,0.280937,0,7.67723,0,44.8522,0,3.30096,0
400,0,0.211988,0,6.13961,0,34.1491,0,2.66471,0
420,0,0.177126,0,5.31038,0,28.3643,0,2.30255,0
440,0,0.145019,0,4.31441,0,22.5268,0,1.87914,0
460,0,0.122959,0,3.71052,0,18.927,0,1.62531,0
480,0,0.109833,0,3.30049,0,16.5456,0,1.44478,0
500,0,0.100512,0,2.94168,0,14.4243,0,1.28001,0
520,0,0.0913684,0,2.64743,0,12.6666,0,1.14572,0
540,0,0.0857661,0,2.47082,0,11.5235,0,1.04886,0
560,0,0.0796074,0,2.25679,0,10.3,0,0.954718,0
580,0,0.0788578,0,2.18941,0,9.93002,0,0.92244,0
600,0,0.07703,0,2.10995,0,9.41158,0,0.879425,0
620,0,0.0836392,0,2.1982,0,9.82249,0,0.906392,0
640,0,0.0789091,0,2.09938,0,9.19819,0,0.891709,0
660,0,0.0784021,0,2.05706,0,8.92793,0,0.873019,0
680,0,0.078709,0,2.06134,0,8.93764,0,0.883753,0
700,0,0.0777216,0,2.01293,0,8.74165,0,0.876739,0
720,0,0.0768335,0,1.99878,0,8.61966,0,0.883103,0
740,0,0.0782008,0,2.05936,0,8.89965,0,0.901705,0
760,0,0.0805252,0,2.09938,0,9.04476,0,0.91297,0
780,0,0.0757689,0,1.99469,0,8.5156,0,0.850773,0
800,0,0.0789568,0,2.09366,0,8.89229,0,0.883836,0
820,0,0.0771798,0,2.02049,0,8.60869,0,0.850288,0
840,0,0.0759861,0,2.01901,0,8.51074,0,0.857071,0
860,0,0.0791697,0,2.05721,0,8.77196,0,0.874058,0
880,0,0.0814942,0,2.07496,0,8.84913,0,0.882672,0
900,0,0.0783185,0,2.02905,0,8.56675,0,0.880457,0
920,0,0.081472,0,2.05092,0,8.79188,0,0.891832,0
940,0,0.0799167,0,2.01806,0,8.61209,0,0.872517,0
960,0,0.0784882,0,2.0203,0,8.60324,0,0.882544,0
980,0,0.0816628,0,2.04577,0,8.69393,0,0.894422,0
1000,0,0.0804266,0,2.0387,0,8.78554,0,0.895854,0
1020,0,0.0832134,0,2.09644,0,9.02491,0,0.93452,0
1040,0,0.0832491,0,2.05809,0,8.86923,0,0.91748,0
1060,0,0.0802687,0,2.00605,0,8.60476,0,0.920101,0
1080,0,0.0832806,0,2.05526,0,8.95102,0,0.941516,0
1100,0,0.0797911,0,1.95522,0,8.45725,0,0.901357,0
1120,0,0.0756035,0,1.88493,0,8.19826,0,0.892516,0
1140,0,0.0771682,0,1.94643,0,8.28742,0,0.938523,0
1160,0,0.0807234,0,1.97852,0,8.58331,0,0.94681,0
1180,0,0.0860437,0,2.04616,0,8.90575,0,0.959492,0
1200,0,0.0871521,0,2.04053,0,8.86689,0,0.92785,0
1220,0,0.082336,0,1.96534,0,8.4638,0,0.898191,0
1240,0,0.0891728,0,2.12218,0,9.21295,0,0.957654,0
1260,0,0.0863946,0,2.06701,0,8.87978,0,0.928056,0
1280,0,0.0846299,0,2.00848,0,8.69018,0,0.896499,0
1300,0,0.0875912,0,2.04024,0,8.85498,0,0.916413,0
1320,0,0.0821871,0,1.94666,0,8.44302,0,0.878094,0
1340,0,0.0814827,0,1.9472,0,8.37105,0,0.882463,0
1360,0,0.0792659,0,1.89008,0,8.12055,0,0.849674,0
1380,0,0.0871226,0,2.04031,0,8.85583,0,0.924619,0
1400,0,0.0791788,0,1.93386,0,8.44391,0,0.913173,0
1420,0,0.078443,0,1.88713,0,8.20217,0,0.89369,0
1440,0,0.078529,0,1.89118,0,8.27091,0,0.90932,0
1460,0,0.0801365,0,1.90725,0,8.33627,0,0.899349,0
1480,0,0.0833056,0,1.89639,0,8.7665,0,0.929885,0
1500,0,0.09907,0,2.15133,0,9.55515,0,0.998654,0
1520,0,0.098546,0,2.1392,0,9.45452,0,0.983999,0
1540,0,0.0876723,0,2.01333,0,8.89577,0,0.929359,0
1560,0,0.0847983,0,1.93119,0,8.53245,0,0.91871,0
1580,0,0.0891245,0,1.99976,0,8.75584,0,0.948133,0
1600,0,0.0858619,0,2.00055,0,8.9683,0,0.971416,0
1620,0,0.0845106,0,1.96035,0,8.73633,0,0.956441,0
1640,0,0.085465,0,1.94878,0,8.77085,0,0.955842,0
