tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,3369.66,0,38432.1,0,485830,0,7652.77,0
20,0,1727.95,0,19529.6,0,246897,0,3881.04,0
40,0,817.473,0,9278.77,0,117322,0,1848.01,0
60,0,412.114,0,4685.13,0,59166.7,0,937.977,0
80,0,222.507,0,2531.44,0,31936.6,0,512.293,0
100,0,129.004,0,1472.4,0,18523,0,306.066,0
120,0,75.5713,0,866.04,0,10833.3,0,188.857,0
140,0,44.9471,0,520.926,0,6451.14,0,122.327,0
160,0,27.2135,0,321.852,0,3913.21,0,84.1027,0
180,0,16.3007,0,199.609,0,2356.73,0,60.3241,0
200,0,9.72003,0,125.449,0,1414.53,0,44.5411,0
220,0,6.33077,0,89.0237,0,937.224,0,37.28,0
240,0,3.99974,0,62.1443,0,603.561,0,31.1651,0
260,0,2.53112,0,44.5871,0,392.879,0,26.5168,0
280,0,1.69134,0,33.5784,0,270.75,0,23.109,0
300,0,1.17612,0,26.9558,0,196.999,0,21.4412,0
320,0,0.801131,0,20.0295,0,138.367,0,18.1848,0
340,0,0.612074,0,16.662,0,109.775,0,17.4062,0
360,0,0.490492,0,14.1316,0,90.1403,0,16.4733,0
380,0,0.378022,0,11.2764,0,71.498,0,15.1135,0
400,0,0.320676,0,9.697,0,61.1684,0,14.6735,0
420,0,0.278581,0,8.53889,0,53.9342,0,14.274,0
440,0,0.242207,0,7.2971,0,46.5336,0,13.6277,0
460,0,0.211426,0,6.33599,0,40.5825,0,13.0982,0
480,0,0.200607,0,5.9049,0,37.9661,0,13.0428,0
500,0,0.179784,0,5.27078,0,33.7271,0,12.2691,0
520,0,0.164334,0,4.76712,0,30.4974,0,11.6912,0
540,0,0.158688,0,4.52889,0,28.9087,0,11.4381,0
560,0,0.143177,0,4.06902,0,25.7937,0,10.7313,0
580,0,0.1407,0,3.94733,0,24.6431,0,10.4964,0
600,0,0.141112,0,3.99689,0,24.6825,0,10.6562,0
620,0,0.139683,0,3.94865,0,24.0636,0,10.5386,0
640,0,0.14274,0,3.9824,0,24.07,0,10.5969,0
660,0,0.14286,0,4.01512,0,23.6037,0,10.333,0
680,0,0.139974,0,3.8371,0,22.3133,0,9.84392,0
700,0,0.137995,0,3.83777,0,22.2441,0,9.76551,0
720,0,0.138194,0,3.84079,0,21.821,0,9.38859,0
740,0,0.13188,0,3.63331,0,20.6436,0,8.86179,0
760,0,0.138034,0,3.78622,0,21.1211,0,9.12977,0
780,0,0.134059,0,3.69506,0,20.4523,0,8.83465,0
800,0,0.132656,0,3.68766,0,20.3229,0,8.77642,0
820,0,0.138429,0,3.84439,0,20.8099,0,8.7839,0
840,0,0.139102,0,3.86269,0,20.6232,0,8.58071,0
860,0,0.137165,0,3.83579,0,20.617,0,8.57445,0
880,0,0.137917,0,3.84861,0,20.4477,0,8.57159,0
900,0,0.132271,0,3.66442,0,19.4461,0,8.06943,0
920,0,0.138404,0,3.79272,0,19.8075,0,8.02083,0
940,0,0.135815,0,3.71064,0,19.6285,0,7.89772,0
960,0,0.141361,0,3.89476,0,20.3106,0,7.9522,0
980,0,0.132658,0,3.70317,0,19.3609,0,7.67344,0
1000,0,0.136191,0,3.77694,0,19.5452,0,7.66812,0
1020,0,0.133968,0,3.73399,0,19.2168,0,7.32117,0
1040,0,0.127714,0,3.54041,0,18.2451,0,6.97667,0
1060,0,0.128349,0,3.50707,0,18.1811,0,6.95786,0
1080,0,0.122684,0,3.42634,0,17.4945,0,6.5369,0
1100,0,0.128273,0,3.51395,0,17.7518,0,6.55948,0
1120,0,0.125034,0,3.50822,0,17.8348,0,6.66249,0
1140,0,0.135696,0,3.72683,0,18.7586,0,6.83356,0
1160,0,0.136075,0,3.72274,0,18.8047,0,6.80547,0
1180,0,0.141617,0,3.87528,0,19.6009,0,7.03146,0
1200,0,0.136676,0,3.77616,0,18.8709,0,6.79774,0
1220,0,0.129019,0,3.5513,0,18.0399,0,6.43843,0
1240,0,0.13444,0,3.65136,0,18.5487,0,6.53475,0
1260,0,0.137408,0,3.72419,0,18.7647,0,6.46376,0
1280,0,0.141447,0,3.68645,0,18.4519,0,6.19288,0
1300,0,0.137539,0,3.59804,0,17.911,0,6.011,0
1320,0,0.140724,0,3.68463,0,18.2917,0,5.98969,0
1340,0,0.130326,0,3.56836,0,17.915,0,5.95731,0
1360,0,0.152002,0,3.99746,0,19.8361,0,6.5167,0
1380,0,0.145718,0,3.91172,0,19.4459,0,6.35314,0
1400,0,0.139283,0,3.83499,0,19.3126,0,6.32141,0
