tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5680.79,0,63223.8,0,800378,0,12674.1,0
20,0,2919.54,0,32579,0,412344,0,6545.68,0
40,0,1830.5,0,20417.1,0,258054,0,4144.22,0
60,0,1242.09,0,13873.7,0,174722,0,2878.46,0
80,0,842.968,0,9425.32,0,117977,0,2014.48,0
100,0,599.809,0,6719.18,0,83222.4,0,1500.5,0
120,0,444.398,0,4988.52,0,60800.4,0,1179.39,0
140,0,334.865,0,3773.57,0,45009.1,0,956.995,0
160,0,255.347,0,2894.94,0,33405.1,0,802.584,0
180,0,198.957,0,2268.95,0,24708.8,0,693.244,0
200,0,167.466,0,1937.66,0,20160,0,654.546,0
220,0,138.392,0,1622.65,0,15843.2,0,616.412,0
240,0,113.081,0,1341.35,0,12218.2,0,562.858,0
260,0,95.961,0,1157.49,0,9888.71,0,543.096,0
280,0,83.0222,0,1020.04,0,8056.59,0,525.131,0
300,0,72.6377,0,901.556,0,6737.9,0,508.319,0
320,0,67.4719,0,860.353,0,6049.9,0,534.724,0
340,0,58.5621,0,765.348,0,5183.75,0,522.293,0
360,0,51.9418,0,686.725,0,4515.54,0,507.578,0
380,0,46.7446,0,623.924,0,4044.69,0,504.84,0
400,0,40.5708,0,549.226,0,3635.51,0,500.15,0
420,0,36.3434,0,495.636,0,3321.74,0,490.915,0
440,0,32.964,0,448.895,0,3079.45,0,483.982,0
460,0,30.4625,0,411.489,0,2929.62,0,486.324,0
480,0,28.5457,0,381.796,0,2830.78,0,493.691,0
500,0,25.8402,0,345.892,0,2711.77,0,497.528,0
520,0,23.9487,0,319.719,0,2593.49,0,487.488,0
540,0,22.2129,0,292.939,0,2482.25,0,480.806,0
560,0,20.6807,0,274.426,0,2401.76,0,474.05,0
580,0,18.6379,0,251.673,0,2361.06,0,479.133,0
600,0,17.4634,0,238.491,0,2313.35,0,474.891,0
620,0,16.9838,0,222.196,0,2286.34,0,482.649,0
640,0,15.8472,0,205.607,0,2219.52,0,476.331,0
660,0,14.4535,0,186.92,0,2102.6,0,461.839,0
680,0,13.5132,0,174.5,0,2023.09,0,447.318,0
700,0,12.315,0,159.192,0,1946.41,0,434.472,0
720,0,12.1365,0,154.085,0,1928.88,0,437.092,0
740,0,11.9394,0,148.611,0,1917.49,0,438.428,0
760,0,10.7358,0,136.426,0,1861.22,0,427.406,0
780,0,10.8438,0,129.853,0,1843.35,0,429.927,0
800,0,10.2068,0,118.8,0,1769.15,0,416.393,0
820,0,10.0056,0,112.87,0,1736.04,0,413.212,0
840,0,9.67995,0,110.263,0,1780.87,0,423.525,0
860,0,9.04193,0,105.25,0,1762.91,0,419.379,0
880,0,8.6934,0,101.95,0,1716.96,0,404.041,0
900,0,8.75933,0,96.742,0,1682.96,0,397.164,0
920,0,8.49518,0,92.7519,0,1679.32,0,401.8,0
940,0,8.33239,0,90.9326,0,1633.04,0,388.722,0
960,0,8.58503,0,89.1663,0,1616.95,0,379.999,0
980,0,8.69848,0,87.4654,0,1603.74,0,370.504,0
1000,0,8.8369,0,90.9658,0,1661.36,0,382.962,0
1020,0,9.07599,0,89.8631,0,1663.35,0,382.51,0
1040,0,9.09586,0,90.3174,0,1682.45,0,381.537,0
1060,0,9.18086,0,90.1469,0,1657.78,0,375.669,0
1080,0,9.2838,0,91.5991,0,1670.97,0,371.332,0
1100,0,9.85073,0,95.9569,0,1733.36,0,378.028,0
1120,0,10.0584,0,98.256,0,1766.55,0,381.946,0
1140,0,9.64244,0,99.3698,0,1803.13,0,380.113,0
1160,0,9.9199,0,103.512,0,1842.99,0,384.714,0
1180,0,9.832,0,103.174,0,1814.09,0,373.044,0
1200,0,10.8924,0,107.691,0,1814.58,0,376.227,0
1220,0,10.0568,0,104.605,0,1847.01,0,382.59,0
1240,0,10.7595,0,113.078,0,1957.06,0,392.565,0
1260,0,11.223,0,120.068,0,2032.42,0,396.209,0
1280,0,11.8573,0,126.753,0,2103.56,0,401.496,0
1300,0,13.7088,0,135.896,0,2097.59,0,388.602,0
1320,0,13.2401,0,135.423,0,2076.11,0,386.309,0
1340,0,15.6662,0,155.409,0,2209.3,0,397.044,0
1360,0,16.3155,0,160.538,0,2170.46,0,378.134,0
1380,0,18.3159,0,176.729,0,2316.88,0,402.145,0
1400,0,17.7832,0,186.525,0,2429.14,0,412.935,0
1420,0,17.991,0,185.945,0,2379.85,0,393.66,0
1440,0,19.5366,0,199.147,0,2535.41,0,414.323,0
1460,0,18.7272,0,194.422,0,2479.65,0,405.012,0
1480,0,17.7988,0,191.689,0,2436.33,0,397.548,0
1500,0,18.3617,0,201.091,0,2497.69,0,400.9,0
1520,0,19.2115,0,208.557,0,2558.84,0,403.29,0
1540,0,21.0137,0,226.806,0,2697.85,0,409.172,0
1560,0,22.5792,0,238.011,0,2676.57,0,396.903,0
1580,0,24.8251,0,252.606,0,2805.8,0,414.825,0
1600,0,25.5748,0,255.445,0,2800.81,0,411.711,0
1620,0,27.5187,0,269.428,0,2898.54,0,419.372,0
1640,0,31.0513,0,291.574,0,3028.45,0,437.307,0
1660,0,31.646,0,299.738,0,3046.82,0,431.515,0
1680,0,30.606,0,305.143,0,3107.76,0,436.615,0
1700,0,30.4729,0,313.361,0,3184.55,0,446.893,0
1720,0,30.2081,0,316.541,0,3155.36,0,434.576,0
1740,0,30.4786,0,326.601,0,3174.16,0,432.389,0
1760,0,29.9956,0,328.252,0,3162.98,0,427.908,0
1780,0,31.91,0,343.371,0,3284.09,0,424.264,0
1800,0,34.2401,0,374.97,0,3495.8,0,434.703,0
1820,0,34.5336,0,385.003,0,3560.15,0,432.53,0
1840,0,33.0005,0,363.856,0,3306.74,0,406.676,0
1860,0,33.1828,0,364.172,0,3334.02,0,406.359,0
1880,0,32.1479,0,348.127,0,3169.38,0,384.24,0
1900,0,32.4689,0,352.503,0,3213.23,0,391.171,0
1920,0,31.859,0,354.298,0,3249.47,0,386.353,0
1940,0,32.5977,0,362.514,0,3337.85,0,385.954,0
1960,0,31.1536,0,346.873,0,3206.88,0,373.68,0
1980,0,30.1683,0,345.068,0,3231.66,0,366.69,0
2000,0,30.5698,0,353.742,0,3248.07,0,366.182,0
2020,0,32.2979,0,355.92,0,3235.51,0,364.22,0
2040,0,29.138,0,333.248,0,3058.7,0,346.791,0
2060,0,27.628,0,320.357,0,3025.14,0,338.311,0
2080,0,26.5599,0,319.642,0,3101.68,0,339.301,0
2100,0,25.3256,0,296.814,0,2965.41,0,321.86,0
2120,0,25.2084,0,291.952,0,2937.77,0,319.2,0
2140,0,25.8677,0,302.701,0,2995.8,0,315.933,0
2160,0,23.8345,0,289.097,0,2871.38,0,299.978,0
2180,0,24.6898,0,288.591,0,2879.54,0,297.773,0
2200,0,23.3001,0,277.874,0,2780.74,0,286.604,0
2220,0,23.2339,0,282.986,0,2838.24,0,285.368,0
2240,0,22.8061,0,273.037,0,2739.71,0,273.255,0
2260,0,24.3465,0,291.147,0,2904.69,0,287.073,0
2280,0,24.3976,0,290.229,0,3000.64,0,287.793,0
2300,0,26.5807,0,308.712,0,3122.19,0,297.91,0
2320,0,25.3257,0,297.916,0,3134.16,0,288.157,0
2340,0,25.0148,0,290.964,0,2958.93,0,277.764,0
2360,0,25.0811,0,288.242,0,2945.26,0,271.285,0
2380,0,24.391,0,278.941,0,2857.18,0,267.241,0
2400,0,24.4176,0,271.786,0,2823.43,0,271.634,0
