tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5661.42,0,63256.8,0,800089,0,12616.6,0
20,0,2942.9,0,32599.3,0,412416,0,6517.17,0
40,0,1798.15,0,19820.5,0,250731,0,3983.22,0
60,0,1237.68,0,13631.2,0,172238,0,2765.93,0
80,0,849.888,0,9348.51,0,117933,0,1923.63,0
100,0,595.759,0,6554.56,0,82469.4,0,1375.85,0
120,0,428.309,0,4718.34,0,59173.4,0,1014.41,0
140,0,316.836,0,3500.74,0,43691.8,0,778.78,0
160,0,235.11,0,2602.35,0,32281.9,0,603.897,0
180,0,179.314,0,1995.52,0,24542.8,0,487.683,0
200,0,140.87,0,1576.36,0,19225,0,408.137,0
220,0,105.938,0,1191.59,0,14400.9,0,327.581,0
240,0,81.301,0,919.75,0,10999.1,0,272.037,0
260,0,61.2004,0,698.716,0,8244.96,0,224.787,0
280,0,48.3355,0,558.2,0,6471.43,0,199.045,0
300,0,37.0109,0,442.441,0,5051.87,0,174.308,0
320,0,30.1508,0,357.915,0,4014.65,0,158.476,0
340,0,23.7947,0,287.188,0,3152.73,0,142.375,0
360,0,18.8175,0,231.518,0,2484.89,0,130.552,0
380,0,14.6574,0,184.487,0,1930.9,0,118.506,0
400,0,11.2843,0,147.302,0,1512.19,0,107.493,0
420,0,9.1717,0,120.829,0,1213.22,0,99.8198,0
440,0,7.60554,0,98.8968,0,1003.09,0,97.6869,0
460,0,6.41943,0,90.3036,0,861.82,0,98.4759,0
480,0,5.19616,0,75.5471,0,715.255,0,93.5835,0
500,0,4.11921,0,61.9775,0,581.831,0,86.2152,0
520,0,3.28585,0,51.3384,0,481.11,0,80.245,0
540,0,2.68457,0,44.0708,0,413.24,0,76.5922,0
560,0,2.21384,0,37.3953,0,352.478,0,71.4449,0
580,0,1.84258,0,32.7832,0,313.188,0,69.4551,0
600,0,1.55589,0,29.5116,0,285.087,0,67.7179,0
620,0,1.34911,0,26.3473,0,257.244,0,64.5257,0
640,0,1.16482,0,24.0137,0,239.047,0,62.9175,0
660,0,1.03191,0,22.0047,0,220.781,0,60.167,0
680,0,0.90861,0,19.9493,0,203.225,0,56.7544,0
700,0,0.838616,0,18.7019,0,191.569,0,54.6564,0
720,0,0.798784,0,17.779,0,181.853,0,52.8965,0
740,0,0.760474,0,16.9281,0,177.744,0,51.9756,0
760,0,0.692522,0,16.4571,0,170.132,0,50.3618,0
780,0,0.643406,0,15.5602,0,160.891,0,47.9024,0
800,0,0.631643,0,15.3441,0,158.241,0,47.4622,0
820,0,0.609323,0,14.6755,0,151.392,0,45.6483,0
840,0,0.580988,0,14.3175,0,148.688,0,44.7097,0
860,0,0.577731,0,14.732,0,153.332,0,45.8614,0
880,0,0.604168,0,14.8451,0,151.917,0,45.1513,0
900,0,0.568646,0,14.2458,0,145.673,0,43.1492,0
920,0,0.570455,0,13.8897,0,139.162,0,41.1715,0
940,0,0.608446,0,14.1215,0,137.758,0,40.5024,0
960,0,0.585786,0,13.6887,0,132.255,0,38.6523,0
980,0,0.604716,0,13.4533,0,129.151,0,37.5203,0
1000,0,0.655676,0,14.1493,0,134.4,0,38.8473,0
1020,0,0.692537,0,14.4905,0,135.915,0,39.233,0
1040,0,0.712461,0,14.5054,0,135.252,0,38.6873,0
1060,0,0.66017,0,13.9562,0,130.704,0,37.2714,0
1080,0,0.694378,0,14.1417,0,129.916,0,37.1034,0
1100,0,0.669492,0,13.6581,0,128.056,0,36.3416,0
1120,0,0.703505,0,13.8982,0,125.793,0,35.4397,0
1140,0,0.699373,0,14.0321,0,127.166,0,35.4366,0
1160,0,0.672042,0,13.8624,0,124.613,0,34.5079,0
1180,0,0.709344,0,13.9567,0,124.552,0,34.0694,0
1200,0,0.716394,0,13.7448,0,122.233,0,33.125,0
1220,0,0.766574,0,14.3413,0,124.763,0,33.4246,0
1240,0,0.766237,0,14.2661,0,122.816,0,32.517,0
1260,0,0.782639,0,14.0768,0,119.74,0,31.3162,0
1280,0,0.854315,0,14.5852,0,120.729,0,31.1104,0
1300,0,0.838742,0,14.2888,0,122.163,0,31.2357,0
1320,0,0.82127,0,14.5632,0,123.87,0,31.5062,0
1340,0,0.863008,0,15.0667,0,126.656,0,31.7701,0
1360,0,0.942849,0,15.9496,0,131.036,0,32.6044,0
1380,0,0.884657,0,15.1866,0,126.37,0,31.3385,0
1400,0,0.891058,0,15.0507,0,126.928,0,31.3728,0
1420,0,0.866933,0,14.6294,0,123.049,0,30.22,0
1440,0,0.893202,0,15.3531,0,128.388,0,31.0782,0
1460,0,0.917161,0,15.1403,0,126.843,0,30.4641,0
1480,0,0.947907,0,15.5484,0,129.623,0,30.7938,0
1500,0,0.879065,0,15.1219,0,127.714,0,30.1683,0
1520,0,0.862876,0,14.7599,0,124.819,0,29.186,0
1540,0,0.937781,0,15.0449,0,124.765,0,28.9352,0
1560,0,0.948467,0,15.0455,0,123.666,0,28.4082,0
1580,0,0.945534,0,15.0547,0,123.715,0,28.3059,0
1600,0,0.974044,0,15.1124,0,126.669,0,28.5854,0
1620,0,0.98347,0,15.7528,0,129.022,0,29.0085,0
1640,0,1.07915,0,16.2657,0,129.397,0,28.9579,0
1660,0,1.1157,0,16.6352,0,132.059,0,29.2914,0
1680,0,1.07757,0,15.9711,0,126.632,0,27.7715,0
1700,0,1.07186,0,15.956,0,126.743,0,27.2152,0
1720,0,0.975183,0,15.2775,0,123.657,0,26.3335,0
1740,0,1.08773,0,16.6167,0,130.724,0,27.0211,0
1760,0,1.18977,0,17.1185,0,133.907,0,27.3765,0
1780,0,1.1437,0,17.0154,0,135.051,0,27.5381,0
1800,0,1.16502,0,16.9506,0,134.795,0,27.3903,0
1820,0,1.1639,0,16.8183,0,133.295,0,26.9494,0
1840,0,1.1807,0,17.3629,0,138.669,0,27.9947,0
1860,0,1.13209,0,16.846,0,136.704,0,27.3526,0
1880,0,1.31947,0,18.3358,0,144.441,0,28.3461,0
1900,0,1.36703,0,18.3972,0,143.434,0,27.775,0
1920,0,1.40646,0,18.3819,0,142.376,0,27.4535,0
1940,0,1.51545,0,19.1281,0,147.299,0,27.9399,0
1960,0,1.47773,0,18.8275,0,145.274,0,27.1388,0
1980,0,1.62624,0,19.7434,0,150.868,0,27.8851,0
2000,0,1.62226,0,19.4111,0,147.006,0,27.0767,0
2020,0,1.70558,0,20.1294,0,153.144,0,27.8008,0
2040,0,1.73238,0,20.3159,0,152.79,0,27.4716,0
2060,0,1.73246,0,20.2191,0,153.243,0,27.4468,0
2080,0,1.7936,0,20.3245,0,154.622,0,27.4587,0
