tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5677,0,63331.1,0,800167,0,12646.4,0
20,0,2937.04,0,32658.8,0,412366,0,6516.73,0
40,0,1847.25,0,20502.5,0,258602,0,4099.76,0
60,0,1251.51,0,13830.7,0,174290,0,2775.67,0
80,0,843.128,0,9292.06,0,116947,0,1882.87,0
100,0,589.51,0,6479.26,0,81415.3,0,1328.66,0
120,0,421.414,0,4627.04,0,58017.5,0,963.767,0
140,0,311.382,0,3421.27,0,42804.2,0,725.492,0
160,0,232.752,0,2555.34,0,31874.8,0,553.542,0
180,0,178.352,0,1963.29,0,24384.1,0,438.565,0
200,0,132.733,0,1466.77,0,18134.9,0,339.538,0
220,0,103.386,0,1146.88,0,14103.2,0,276.55,0
240,0,82.0337,0,913.941,0,11166.6,0,231.02,0
260,0,63.7356,0,713.134,0,8660.83,0,189.922,0
280,0,48.7183,0,549.343,0,6618.72,0,156.119,0
300,0,37.8132,0,429.001,0,5131.01,0,130.289,0
320,0,29.0047,0,331.552,0,3934.6,0,109.371,0
340,0,22.7497,0,263.494,0,3084.77,0,95.9565,0
360,0,17.8793,0,209.655,0,2426.83,0,85.6852,0
380,0,13.6884,0,162.008,0,1858.46,0,73.0976,0
400,0,10.7906,0,128.895,0,1467.18,0,64.9168,0
420,0,8.80534,0,106.778,0,1200.54,0,61.7192,0
440,0,6.74921,0,83.2185,0,923.762,0,55.2466,0
460,0,5.45053,0,68.8456,0,751.242,0,52.6886,0
480,0,4.27855,0,55.1617,0,594.643,0,48.7525,0
500,0,3.38377,0,44.7542,0,474.851,0,45.276,0
520,0,2.67398,0,36.5843,0,381.386,0,42.7868,0
540,0,2.11668,0,29.7433,0,305.996,0,39.4294,0
560,0,1.69856,0,24.936,0,251.449,0,37.8375,0
580,0,1.35023,0,20.8634,0,205.493,0,35.8791,0
600,0,1.09365,0,17.9465,0,172.092,0,34.1021,0
620,0,0.893562,0,15.4875,0,145.145,0,32.2643,0
640,0,0.745007,0,13.8316,0,125.626,0,31.1626,0
660,0,0.625786,0,12.6157,0,110.674,0,30.4106,0
680,0,0.527853,0,11.2806,0,96.5652,0,28.5305,0
700,0,0.461056,0,10.5437,0,87.7716,0,27.7503,0
720,0,0.403699,0,9.7149,0,78.7197,0,26.1312,0
740,0,0.364722,0,9.38726,0,74.2809,0,25.6722,0
760,0,0.344031,0,8.94995,0,69.6619,0,24.7594,0
780,0,0.329275,0,8.82224,0,67.0444,0,24.3506,0
800,0,0.327553,0,8.8561,0,65.5751,0,24.0551,0
820,0,0.31558,0,8.63593,0,62.978,0,23.2846,0
840,0,0.306203,0,8.45884,0,61.0306,0,22.7143,0
860,0,0.301852,0,8.34567,0,59.4864,0,22.2707,0
880,0,0.297409,0,8.3057,0,58.5023,0,21.8653,0
900,0,0.303249,0,8.45167,0,58.5176,0,21.819,0
920,0,0.296474,0,8.309,0,57.2197,0,21.3019,0
