tick,49,47,45,15,40,46,44,5,39,29,43,26,41,37,17,35,34,36,22,33,32,31,30,20,14,18,16,42,38,28,10,2,13,23,12,19,0,3,48,11,24,1,27,6,21,9,25,7,8,4
0,0.12,0.06,0.13,0.09,0.09,0.1,0.12,0.12,0.08,0.12,0.05,0.11,0.06,0.15,0.07,0.09,0.09,0.13,0.13,0.09,0.1,0.08,0.14,0.08,0.18,0.07,0.12,0.16,0.15,0.09,0.16,0.26,0.09,0.18,0.2,0.15,0.05,0.14,0.12,0.17,0.05,0.07,0.11,0.06,0.14,0.06,0.12,0.1,0.06,0.07
20,0.14,0.09,0.22,0.31,0.13,0.15,0.17,0.2,0.17,0.17,0.19,0.18,0.16,0.14,0.07,0.04,0.07,0.1,0.13,0.16,0.1,0.15,0.16,0.14,0.17,0.11,0.23,0.15,0.2,0.12,0.07,0.18,0.14,0.24,0.22,0.18,0.03,0.18,0.23,0.26,0.26,0.1,0.22,0.18,0.22,0.22,0.2,0.19,0.19,0.07
40,0.18,0.28,0.16,0.34,0.17,0.3,0.1,0.2,0.36,0.15,0.18,0.26,0.32,0.21,0.13,0.19,0.13,0.18,0.12,0.27,0.09,0.12,0.23,0.22,0.11,0.19,0.16,0.24,0.25,0.11,0.2,0.34,0.16,0.22,0.2,0.15,0.1,0.18,0.25,0.2,0.19,0.19,0.15,0.22,0.29,0.16,0.19,0.24,0.23,0.11
60,0.08,0.44,0.28,0.34,0.2,0.43,0.15,0.19,0.23,0.25,0.24,0.18,0.25,0.17,0.18,0.23,0.13,0.18,0.17,0.2,0.17,0.09,0.24,0.31,0.21,0.33,0.22,0.2,0.3,0.15,0.18,0.34,0.2,0.35,0.35,0.35,0.11,0.26,0.37,0.28,0.25,0.13,0.1,0.26,0.22,0.3,0.15,0.17,0.24,0.25
80,0.08,0.47,0.3,0.41,0.2,0.46,0.1,0.23,0.2,0.3,0.09,0.12,0.32,0.22,0.24,0.21,0.28,0.22,0.13,0.18,0.2,0.16,0.2,0.27,0.09,0.17,0.15,0.18,0.2,0.2,0.08,0.2,0.23,0.32,0.15,0.22,0.04,0.14,0.34,0.16,0.2,0.26,0.25,0.17,0.14,0.29,0.12,0.23,0.24,0.34
100,0.1,0.45,0.24,0.24,0.16,0.47,0.19,0.22,0.24,0.3,0.1,0.13,0.17,0.19,0.23,0.14,0.29,0.2,0.22,0.34,0.18,0.11,0.17,0.22,0.2,0.26,0.23,0.27,0.22,0.16,0.22,0.18,0.24,0.32,0.17,0.26,0.12,0.17,0.2,0.19,0.33,0.2,0.09,0.18,0.17,0.28,0.16,0.3,0.16,0.33
120,0.13,0.28,0.29,0.31,0.22,0.44,0.32,0.26,0.16,0.25,0.11,0.13,0.21,0.12,0.13,0.19,0.23,0.19,0.19,0.12,0.17,0.1,0.2,0.22,0.13,0.27,0.17,0.19,0.28,0.11,0.15,0.14,0.09,0.25,0.14,0.14,0.09,0.16,0.15,0.13,0.27,0.22,0.11,0.18,0.21,0.27,0.23,0.31,0.16,0.47
140,0.09,0.34,0.39,0.19,0.21,0.46,0.29,0.16,0.17,0.34,0.12,0.12,0.17,0.11,0.19,0.17,0.18,0.21,0.18,0.21,0.18,0.07,0.14,0.22,0.14,0.14,0.13,0.18,0.24,0.11,0.17,0.16,0.11,0.27,0.12,0.16,0.19,0.09,0.17,0.13,0.37,0.35,0.19,0.19,0.17,0.24,0.12,0.23,0.18,0.32
160,0.09,0.33,0.18,0.17,0.21,0.37,0.21,0.18,0.12,0.19,0.18,0.08,0.1,0.2,0.11,0.22,0.23,0.24,0.12,0.14,0.15,0.1,0.13,0.18,0.19,0.14,0.15,0.16,0.11,0.1,0.19,0.24,0.11,0.21,0.11,0.13,0.15,0.18,0.09,0.08,0.17,0.15,0.1,0.17,0.25,0.22,0.16,0.16,0.08,0.36
180,0.11,0.2,0.22,0.11,0.21,0.34,0.21,0.14,0.09,0.25,0.1,0.11,0.12,0.17,0.05,0.12,0.29,0.25,0.2,0.18,0.13,0.14,0.11,0.28,0.11,0.22,0.22,0.21,0.22,0.02,0.14,0.24,0.11,0.33,0.09,0.14,0.13,0.13,0.13,0.08,0.33,0.23,0.1,0.13,0.22,0.3,0.2,0.25,0.11,0.2
200,0.13,0.16,0.12,0.13,0.1,0.36,0.21,0.02,0.1,0.33,0.1,0.16,0.15,0.09,0.08,0.09,0.17,0.24,0.22,0.12,0.1,0.06,0.13,0.12,0.1,0.15,0.17,0.12,0.19,0.15,0.11,0.22,0.12,0.22,0.13,0.14,0.18,0.16,0.09,0.11,0.22,0.15,0.08,0.14,0.21,0.16,0.15,0.09,0.19,0.27
220,0.2,0.27,0.14,0.21,0.16,0.28,0.18,0.14,0.13,0.2,0.11,0.13,0.13,0.11,0.08,0.14,0.24,0.18,0.09,0.15,0.09,0.13,0.11,0.15,0.12,0.09,0.22,0.1,0.12,0.12,0.12,0.2,0.15,0.13,0.07,0.06,0.02,0.18,0.16,0.1,0.29,0.2,0.11,0.13,0.16,0.2,0.15,0.2,0.1,0.24
240,0.12,0.18,0.17,0.06,0.09,0.29,0.2,0.18,0.15,0.19,0.13,0.15,0.15,0.18,0.11,0.08,0.17,0.22,0.18,0.14,0.16,0.1,0.13,0.15,0.18,0.15,0.15,0.06,0.14,0.06,0.21,0.13,0.08,0.21,0.1,0.14,0.13,0.18,0.09,0.09,0.12,0.13,0.13,0.16,0.12,0.19,0.12,0.15,0.12,0.16
260,0.15,0.1,0.09,0.12,0.15,0.32,0.17,0.1,0.15,0.19,0.19,0.18,0.14,0.1,0.13,0.11,0.18,0.22,0.14,0.11,0.14,0.07,0.08,0.22,0.17,0.07,0.19,0.1,0.15,0.09,0.07,0.16,0.1,0.1,0.09,0.18,0.08,0.23,0.11,0.09,0.08,0.08,0.18,0.17,0.15,0.15,0.15,0.18,0.12,0.15
280,0.15,0.15,0.21,0.16,0.14,0.3,0.17,0.11,0.09,0.16,0.09,0.07,0.11,0.1,0.15,0.08,0.23,0.17,0.18,0.17,0.13,0.08,0.13,0.11,0.17,0.1,0.18,0.08,0.12,0.11,0.12,0.12,0.09,0.23,0.14,0.18,0.1,0.17,0.06,0.11,0.09,0.23,0.06,0.14,0.13,0.17,0.17,0.15,0.11,0.18
300,0.11,0.21,0.14,0.11,0.17,0.26,0.19,0.15,0.18,0.14,0.16,0.15,0.19,0.11,0.1,0.1,0.14,0.14,0.14,0.11,0.09,0.1,0.16,0.12,0.14,0.16,0.14,0.08,0.14,0.04,0.13,0.17,0.11,0.19,0.13,0.21,0.11,0.18,0.12,0.14,0.1,0.14,0.15,0.23,0.23,0.18,0.14,0.18,0.18,0.19
