tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5656.34,0,63267.1,0,800183,0,12604.7,0
20,0,5655.3,0,63263.2,0,800168,0,12601.8,0
40,0,2912.94,0,32624.8,0,412382,0,6498.04,0
60,0,2912.62,0,32629.5,0,412373,0,6504.86,0
80,0,1941.6,0,21292.9,0,274000,0,4331.74,0
100,0,1748.86,0,19582.4,0,247048,0,3918.98,0
120,0,1238.08,0,13842,0,174427,0,2774.35,0
140,0,1138.17,0,12749.1,0,160539,0,2563.98,0
160,0,838.119,0,9379.78,0,118005,0,1889.14,0
180,0,779.673,0,8736.13,0,109813,0,1765.06,0
200,0,586.555,0,6572.02,0,82561.8,0,1329.26,0
220,0,586.76,0,6578.94,0,82564.1,0,1336.39,0
240,0,436.265,0,4893.46,0,61380,0,993.612,0
260,0,419.61,0,4708.76,0,59014.5,0,960.104,0
280,0,321.794,0,3615,0,45278.8,0,736.626,0
300,0,305.04,0,3426.14,0,42892.2,0,700.8,0
320,0,237.085,0,2662.27,0,33313.3,0,544.302,0
340,0,223.316,0,2507.8,0,31368.9,0,514.291,0
360,0,186.236,0,2095.23,0,26193,0,429.649,0
380,0,165.458,0,1859.51,0,23244.1,0,382.116,0
400,0,141.953,0,1597.49,0,19958.4,0,328.398,0
420,0,123.43,0,1387.61,0,17333.9,0,285.607,0
440,0,105.688,0,1188.7,0,14843.2,0,244.694,0
460,0,92.6285,0,1041.2,0,12999.9,0,214.548,0
480,0,81.7932,0,919.002,0,11468.5,0,189.432,0
500,0,72.1499,0,810.56,0,10114.3,0,167.278,0
520,0,62.5935,0,703.723,0,8779.12,0,145.161,0
540,0,56.2055,0,631.591,0,7769.62,0,130.522,0
560,0,49.3572,0,554.852,0,6918.79,0,114.602,0
580,0,42.9111,0,482.286,0,6012.7,0,99.7326,0
600,0,38.8525,0,436.619,0,5443.15,0,90.3121,0
620,0,32.8071,0,368.703,0,4594.18,0,76.3326,0
640,0,30.0832,0,338.115,0,4211.55,0,70.0693,0
660,0,24.9398,0,280.275,0,3490.27,0,58.1538,0
680,0,23.7544,0,266.898,0,3321.91,0,55.4983,0
700,0,19.1912,0,215.658,0,2683.55,0,44.8892,0
720,0,18.3394,0,206.17,0,2564.05,0,43.0544,0
740,0,14.6753,0,164.989,0,2050.94,0,34.5415,0
760,0,13.7215,0,154.255,0,1915.78,0,32.4192,0
780,0,11.3852,0,128.115,0,1549.8,0,27.0599,0
800,0,10.2886,0,117.803,0,1460.36,0,25.0178,0
820,0,9.18978,0,103.553,0,1282.06,0,22.1332,0
840,0,8.26639,0,93.2976,0,1153.01,0,20.1756,0
860,0,7.16088,0,80.9076,0,998.341,0,17.6334,0
880,0,6.39627,0,72.5231,0,892.088,0,16.1164,0
900,0,5.4919,0,62.3645,0,765.068,0,14.0277,0
920,0,4.9789,0,56.8279,0,693.501,0,13.1515,0
940,0,4.27364,0,48.8749,0,594.977,0,11.4427,0
960,0,3.99982,0,46.1207,0,556.662,0,11.2139,0
980,0,3.32012,0,38.4195,0,462.079,0,9.4923,0
