tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5621.81,0,62787.9,0,793833,0,12546.8,0
20,0,1358.25,0,15183.6,0,191981,0,3032.88,0
40,0,325.5,0,3644.57,0,46073.1,0,728.914,0
60,0,157.733,0,1774.39,0,22354.3,0,361.112,0
80,0,37.7154,0,444.298,0,5402.34,0,102.879,0
100,0,9.38159,0,143.533,0,1397.48,0,46.58,0
120,0,3.18003,0,78.2288,0,496.325,0,30.5361,0
140,0,1.88148,0,55.7585,0,286.173,0,22.3777,0
160,0,1.28408,0,38.6791,0,191.687,0,15.6042,0
180,0,0.967842,0,28.6911,0,141.683,0,11.6497,0
200,0,1.35425,0,39.9944,0,198,0,16.2065,0
220,0,1.02029,0,30.3812,0,150.664,0,12.3256,0
240,0,0.785463,0,23.2096,0,115.402,0,9.47303,0
260,0,0.585651,0,17.2888,0,85.9037,0,7.0623,0
280,0,0.429609,0,12.8448,0,63.6292,0,5.2201,0
300,0,0.310947,0,9.17464,0,45.4363,0,3.73801,0
320,0,0.217574,0,6.53674,0,32.4184,0,2.67025,0
340,0,0.306476,0,9.17868,0,45.7185,0,3.74187,0
360,0,0.236729,0,7.12449,0,35.5719,0,2.91472,0
380,0,0.176552,0,5.34787,0,26.7798,0,2.20385,0
400,0,0.130371,0,3.9408,0,19.9004,0,1.64815,0
420,0,0.10897,0,3.28402,0,16.6159,0,1.37622,0
440,0,0.091436,0,2.7045,0,13.5802,0,1.13882,0
460,0,0.0627703,0,1.8848,0,9.3978,0,0.811051,0
480,0,0.0534806,0,1.6141,0,8.0233,0,0.702575,0
500,0,0.088,0,2.59984,0,12.7849,0,1.15763,0
520,0,0.0780812,0,2.22332,0,10.8238,0,0.97881,0
540,0,0.0763642,0,2.09986,0,10.1536,0,0.920901,0
560,0,0.0706021,0,1.86249,0,8.93721,0,0.807434,0
580,0,0.0684474,0,1.7119,0,8.22515,0,0.738758,0
600,0,0.0594389,0,1.46745,0,7.02785,0,0.626592,0
620,0,0.0541465,0,1.35958,0,6.36233,0,0.585892,0
