tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5607.29,0,62717,0,793887,0,12556.6,0
20,0,1356.69,0,15173.3,0,192008,0,3044.3,0
40,0,325.746,0,3655.22,0,46109.9,0,751.916,0
60,0,158.862,0,1836.09,0,22547.8,0,433.841,0
80,0,39.8231,0,568.089,0,5835.32,0,188.44,0
100,0,12.4682,0,288.938,0,2040.34,0,122.184,0
120,0,6.556,0,203.789,0,1154.84,0,93.3339,0
140,0,4.8898,0,163.319,0,881.477,0,79.433,0
160,0,3.4664,0,115.287,0,627.329,0,60.8508,0
180,0,2.74748,0,89.1023,0,490.257,0,50.823,0
200,0,3.37829,0,112.021,0,621.424,0,69.9571,0
220,0,2.46533,0,82.2204,0,465.228,0,57.1267,0
240,0,1.95201,0,65.5882,0,380.954,0,51.2609,0
260,0,1.58476,0,52.9308,0,315.534,0,46.9464,0
280,0,1.17405,0,39.8032,0,242.928,0,39.768,0
300,0,0.958164,0,32.1648,0,202.033,0,36.6847,0
320,0,0.753077,0,24.9039,0,161.857,0,32.4898,0
340,0,0.641063,0,21.1264,0,141.539,0,30.9078,0
360,0,0.50057,0,16.2272,0,112.56,0,26.6601,0
380,0,0.41811,0,13.6341,0,96.7555,0,24.7706,0
400,0,0.48584,0,16.6093,0,120.524,0,33.264,0
420,0,0.383324,0,13.006,0,97.1856,0,28.6267,0
440,0,0.301934,0,10.3286,0,79.2233,0,25.0597,0
460,0,0.256711,0,8.64765,0,67.917,0,22.6586,0
480,0,0.244108,0,8.19402,0,65.1614,0,22.472,0
500,0,0.200173,0,6.62769,0,53.3521,0,19.3545,0
520,0,0.171789,0,5.73685,0,46.9156,0,17.7317,0
540,0,0.207985,0,6.95804,0,58.1844,0,22.7688,0
560,0,0.184633,0,6.13668,0,51.5273,0,20.6051,0
580,0,0.172929,0,5.51946,0,45.8559,0,18.7093,0
600,0,0.161816,0,5.1985,0,43.5084,0,17.6854,0
620,0,0.137934,0,4.41075,0,37.2941,0,15.2219,0
640,0,0.132731,0,4.19515,0,35.4647,0,14.5025,0
660,0,0.175245,0,5.43501,0,44.5562,0,18.7289,0
680,0,0.160952,0,4.85425,0,39.6349,0,16.4299,0
700,0,0.139372,0,4.22846,0,35.1655,0,14.5156,0
720,0,0.136089,0,4.0572,0,33.3914,0,13.8877,0
740,0,0.136574,0,3.84417,0,31.9605,0,13.3778,0
760,0,0.137066,0,4.13786,0,33.4628,0,13.801,0
780,0,0.128647,0,3.83256,0,31.3946,0,12.9457,0
800,0,0.133715,0,3.93078,0,31.5426,0,12.9735,0
820,0,0.160071,0,4.67994,0,36.7591,0,15.4556,0
840,0,0.153068,0,4.3816,0,34.1591,0,14.4286,0
860,0,0.14711,0,4.22891,0,32.5854,0,13.4907,0
880,0,0.135965,0,3.90844,0,30.1241,0,12.3259,0
900,0,0.145094,0,4.16325,0,31.7386,0,13.0641,0
920,0,0.131838,0,3.86126,0,29.7609,0,12.321,0
940,0,0.133506,0,3.75304,0,28.303,0,11.7303,0
960,0,0.16996,0,4.72687,0,35.0174,0,14.5937,0
980,0,0.148455,0,4.09942,0,30.1725,0,12.4538,0
1000,0,0.135263,0,3.74667,0,27.3904,0,11.0995,0
1020,0,0.131168,0,3.62726,0,26.9607,0,11.0145,0
1040,0,0.144605,0,4.01634,0,29.1635,0,11.7651,0
1060,0,0.138832,0,3.83921,0,27.6252,0,11.2058,0
1080,0,0.132057,0,3.63094,0,26.4139,0,10.6258,0
1100,0,0.167074,0,4.55313,0,31.7736,0,12.5999,0
1120,0,0.15164,0,4.18699,0,29.2229,0,11.7439,0
1140,0,0.160721,0,4.50956,0,31.9271,0,12.7495,0
1160,0,0.156432,0,4.38727,0,30.3498,0,12.5249,0
1180,0,0.151659,0,4.14468,0,29.5436,0,11.6881,0
1200,0,0.139854,0,3.82599,0,27.2838,0,10.6727,0
1220,0,0.138858,0,3.78839,0,26.34,0,10.2632,0
1240,0,0.125199,0,3.40205,0,23.3588,0,9.01745,0
1260,0,0.170009,0,4.48106,0,30.3664,0,11.8104,0
1280,0,0.162063,0,4.30378,0,29.6178,0,11.437,0
1300,0,0.154525,0,4.07272,0,27.8508,0,10.6067,0
1320,0,0.18053,0,4.70785,0,32.2009,0,11.9385,0
1340,0,0.169513,0,4.34582,0,29.9994,0,10.9927,0
1360,0,0.166959,0,4.42922,0,30.2534,0,11.1377,0
1380,0,0.163262,0,4.25411,0,28.4092,0,10.3784,0
1400,0,0.146609,0,3.89072,0,25.9301,0,9.38386,0
1420,0,0.130308,0,3.42189,0,22.6478,0,8.21202,0
1440,0,0.129697,0,3.38196,0,22.0314,0,7.80313,0
1460,0,0.17097,0,4.44819,0,28.959,0,10.4638,0
1480,0,0.157916,0,3.99239,0,26.9535,0,9.60884,0
1500,0,0.178831,0,4.46866,0,29.5268,0,10.3785,0
1520,0,0.17083,0,4.29449,0,27.9879,0,9.60888,0
1540,0,0.154037,0,3.9901,0,26.1118,0,9.03735,0
1560,0,0.13693,0,3.56802,0,23.339,0,7.81651,0
1580,0,0.121953,0,3.18734,0,20.9806,0,7.12826,0
1600,0,0.160304,0,4.05354,0,26.4079,0,9.08561,0
1620,0,0.195594,0,4.99363,0,32.1721,0,11.1028,0
1640,0,0.193443,0,4.94066,0,31.4975,0,10.7,0
