tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5664.98,0,62663.4,0,793782,0,12538.8,0
20,0,1369.25,0,15154.8,0,192008,0,3032.43,0
40,0,328.31,0,3637.49,0,46076.1,0,728.641,0
60,0,154.249,0,1718.45,0,21674.3,0,351.781,0
80,0,38.1276,0,443.614,0,5408.63,0,103.684,0
100,0,9.45344,0,138.785,0,1394.79,0,46.5874,0
120,0,2.99647,0,71.7432,0,473.324,0,28.5218,0
140,0,1.66978,0,49.3034,0,261.349,0,20.5325,0
160,0,1.92305,0,57.8644,0,292.449,0,24.315,0
180,0,1.50619,0,45.5126,0,228.392,0,19.276,0
200,0,1.13863,0,34.2092,0,171.494,0,14.5566,0
220,0,0.892861,0,26.8473,0,134.349,0,11.5102,0
240,0,0.668952,0,20.317,0,101.385,0,8.729,0
260,0,0.525386,0,15.7487,0,78.9732,0,6.86211,0
280,0,0.389715,0,11.7567,0,59.4333,0,5.23594,0
300,0,0.294588,0,8.98222,0,45.3304,0,4.07942,0
320,0,0.354029,0,10.7648,0,54.6372,0,5.10646,0
340,0,0.262394,0,7.98385,0,40.5618,0,3.90991,0
360,0,0.200729,0,6.07288,0,30.7399,0,3.06122,0
380,0,0.15571,0,4.79311,0,24.3966,0,2.51234,0
400,0,0.130723,0,3.96875,0,20.11,0,2.15472,0
420,0,0.104725,0,3.14192,0,15.9023,0,1.77017,0
440,0,0.0860297,0,2.58234,0,13.0301,0,1.5357,0
460,0,0.115903,0,3.39233,0,17.1066,0,2.16739,0
480,0,0.0989595,0,2.79701,0,14.0592,0,1.8343,0
500,0,0.0892907,0,2.49129,0,12.3753,0,1.65214,0
520,0,0.0816728,0,2.18062,0,10.7088,0,1.43443,0
540,0,0.0708372,0,1.86858,0,9.11861,0,1.27058,0
560,0,0.0684819,0,1.82548,0,8.74963,0,1.23957,0
580,0,0.0647301,0,1.69797,0,7.95328,0,1.13721,0
600,0,0.0571911,0,1.51973,0,7.05636,0,1.05076,0
620,0,0.0756379,0,1.95154,0,8.98124,0,1.40033,0
640,0,0.0731152,0,1.86,0,8.51744,0,1.32531,0
660,0,0.0748892,0,1.902,0,8.69653,0,1.39478,0
680,0,0.077,0,1.95941,0,8.88094,0,1.41423,0
700,0,0.0760408,0,1.87014,0,8.48002,0,1.30166,0
720,0,0.0701306,0,1.73666,0,7.94194,0,1.21835,0
740,0,0.063485,0,1.5508,0,7.0475,0,1.07107,0
760,0,0.0585927,0,1.42093,0,6.45336,0,0.970363,0
780,0,0.0538191,0,1.33721,0,5.94654,0,0.886227,0
800,0,0.0745174,0,1.92018,0,8.40076,0,1.33216,0
820,0,0.0740876,0,1.85275,0,8.09262,0,1.24515,0
