tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5671.45,0,63248.3,0,800174,0,12627.4,0
20,0,2456.9,0,27292.5,0,345446,0,5457.94,0
40,0,1451.81,0,15782.4,0,203828,0,3222.77,0
60,0,934.246,0,10335.7,0,130704,0,2070.98,0
80,0,596.052,0,6583.6,0,83227.8,0,1321.39,0
100,0,395.888,0,4359.01,0,55074.5,0,877.855,0
120,0,269.94,0,2966.45,0,37463.9,0,599.643,0
140,0,186.084,0,2040.39,0,25748.7,0,414.403,0
160,0,130.74,0,1431.94,0,18044.9,0,292.976,0
180,0,95.6283,0,1049.05,0,13194.9,0,216.732,0
200,0,68.5911,0,753.242,0,9455.18,0,157.372,0
220,0,50.2091,0,553.036,0,6916.53,0,117.483,0
240,0,37.0296,0,408.647,0,5092.4,0,88.0759,0
260,0,26.2949,0,291.288,0,3613.34,0,63.929,0
280,0,19.2611,0,214.461,0,2646.54,0,48.036,0
300,0,14.4715,0,162.29,0,1988.48,0,37.3008,0
320,0,10.775,0,122.17,0,1481.6,0,28.9046,0
340,0,8.30901,0,95.3867,0,1143.7,0,23.3909,0
360,0,6.07144,0,70.9426,0,837.256,0,18.0582,0
380,0,4.48887,0,53.2046,0,619.199,0,14.0026,0
400,0,3.37677,0,40.9365,0,466.993,0,11.2257,0
420,0,2.42871,0,30.0579,0,336.262,0,8.5367,0
440,0,1.83583,0,23.3473,0,254.707,0,6.90135,0
460,0,1.39668,0,18.3377,0,194.388,0,5.63065,0
480,0,1.01216,0,13.8195,0,141.501,0,4.45058,0
500,0,0.786131,0,11.4175,0,110.671,0,3.88358,0
520,0,0.591529,0,9.27147,0,83.8047,0,3.3179,0
540,0,0.450525,0,7.51731,0,64.1505,0,2.80602,0
560,0,0.3602,0,6.51922,0,51.5865,0,2.51052,0
580,0,0.281623,0,5.65009,0,40.8235,0,2.24801,0
600,0,0.227072,0,5.00289,0,33.0813,0,2.0216,0
620,0,0.192226,0,4.62337,0,28.0435,0,1.90086,0
640,0,0.172055,0,4.42513,0,24.9643,0,1.83487,0
