tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5650.11,0,63294.9,0,800010,0,12657.3,0
20,0,2431.42,0,27369.6,0,345707,0,5495.68,0
40,0,1451.42,0,16351.9,0,206166,0,3322.9,0
60,0,915.213,0,10326.9,0,129752,0,2145.02,0
80,0,591.024,0,6702.81,0,83695.2,0,1445.85,0
100,0,391.698,0,4468.71,0,55291.6,0,1016,0
120,0,266.898,0,3069.96,0,37536.2,0,743.256,0
140,0,186.136,0,2169.94,0,26015.8,0,572.768,0
160,0,132.274,0,1566.35,0,18342,0,457.758,0
180,0,100.247,0,1220.88,0,13714.2,0,400.765,0
200,0,77.047,0,964.793,0,10343.6,0,362.888,0
220,0,58.5716,0,759.566,0,7709.18,0,324.427,0
240,0,43.8266,0,590.242,0,5630.89,0,287.627,0
260,0,34.7762,0,490.784,0,4365.94,0,271.031,0
280,0,27.4276,0,404.72,0,3363,0,252.329,0
300,0,22.0988,0,340.314,0,2647.33,0,233.172,0
320,0,17.5297,0,281.96,0,2120.97,0,218.46,0
340,0,16.6617,0,273.899,0,1932.66,0,221.35,0
360,0,14.5293,0,245.47,0,1722.59,0,219.498,0
380,0,12.1733,0,209.274,0,1465.97,0,204.296,0
400,0,10.5974,0,184.125,0,1288.27,0,192.747,0
420,0,9.21345,0,164.599,0,1173.49,0,185.915,0
440,0,7.76324,0,143.353,0,1056.25,0,175.519,0
460,0,6.73085,0,128.408,0,989.998,0,172.513,0
480,0,6.74252,0,125.644,0,986.395,0,173.384,0
500,0,6.94759,0,124.392,0,976.583,0,173.087,0
520,0,6.92329,0,116.936,0,934.544,0,166.859,0
540,0,6.42555,0,105.772,0,878.314,0,160.783,0
560,0,6.25592,0,99.1513,0,825.38,0,150.026,0
580,0,5.85417,0,91.2027,0,781.815,0,144.733,0
600,0,5.90499,0,90.1688,0,796.083,0,147.019,0
620,0,6.00007,0,89.9106,0,794.48,0,146.417,0
640,0,6.20719,0,88.7389,0,779.128,0,145.148,0
660,0,5.41762,0,78.2389,0,746.456,0,142.145,0
680,0,5.58914,0,77.7169,0,760.24,0,144.954,0
700,0,5.45878,0,74.7553,0,726.106,0,138.067,0
720,0,4.91952,0,67.3319,0,691.424,0,132.834,0
740,0,5.36046,0,72.6698,0,707.11,0,132.951,0
760,0,4.7613,0,67.0333,0,706.095,0,135.331,0
780,0,4.66223,0,67.0343,0,711.146,0,136.472,0
800,0,5.3804,0,69.0716,0,710.495,0,135.743,0
820,0,5.34836,0,65.9544,0,702.335,0,135.243,0
