tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5662.16,0,63260.5,0,800446,0,12629.3,0
20,0,2445.55,0,27361.1,0,345721,0,5468.58,0
40,0,1513.09,0,16945.7,0,213985,0,3388.1,0
60,0,916.784,0,10276.6,0,129742,0,2058.59,0
80,0,581.474,0,6514.35,0,82257.2,0,1309.78,0
100,0,387.785,0,4346.45,0,54876.1,0,877.252,0
120,0,261.887,0,2937.98,0,37069.6,0,596.801,0
140,0,178.095,0,1999.9,0,25218.8,0,409.471,0
160,0,124.728,0,1402.65,0,17668.9,0,290.134,0
180,0,88.2449,0,993.712,0,12497,0,208.179,0
200,0,65.6078,0,741.676,0,9293.27,0,158.571,0
220,0,49.3048,0,559.139,0,6982.95,0,122.184,0
240,0,35.0354,0,399.195,0,4963.39,0,89.5399,0
260,0,25.6861,0,293.523,0,3631.52,0,67.4705,0
280,0,18.7871,0,216.303,0,2658.28,0,51.5014,0
300,0,13.6289,0,158.063,0,1928.22,0,38.9693,0
320,0,10.1214,0,118.404,0,1431.99,0,30.4066,0
340,0,7.60684,0,90.4573,0,1078.94,0,24.555,0
360,0,5.66208,0,68.6136,0,805.536,0,19.8509,0
380,0,4.14466,0,51.2241,0,591.135,0,15.8861,0
400,0,3.00355,0,37.929,0,429.443,0,12.7128,0
420,0,2.28673,0,29.584,0,328.118,0,10.7234,0
440,0,1.71394,0,22.835,0,246.663,0,9.08866,0
460,0,1.27849,0,17.6904,0,184.253,0,7.7499,0
480,0,0.967333,0,13.9428,0,139.903,0,6.78688,0
500,0,0.750593,0,11.4552,0,109.241,0,6.21037,0
520,0,0.563987,0,9.04314,0,82.1211,0,5.47425,0
540,0,0.436083,0,7.45181,0,63.4201,0,4.89665,0
560,0,0.342549,0,6.35625,0,49.732,0,4.5792,0
580,0,0.289163,0,5.7506,0,41.7892,0,4.40677,0
600,0,0.245321,0,5.26087,0,35.3581,0,4.34548,0
620,0,0.21011,0,4.8433,0,29.9849,0,4.1639,0
640,0,0.179274,0,4.47686,0,25.9939,0,3.97442,0
660,0,0.164797,0,4.13871,0,22.71,0,3.67034,0
680,0,0.163133,0,4.17835,0,21.7276,0,3.63375,0
700,0,0.15471,0,4.04239,0,20.3121,0,3.52787,0
720,0,0.154914,0,4.0489,0,19.8664,0,3.48491,0
740,0,0.155211,0,4.11357,0,19.7171,0,3.44273,0
760,0,0.147978,0,3.89619,0,18.5432,0,3.28803,0
780,0,0.147493,0,3.96386,0,18.7691,0,3.34056,0
800,0,0.147542,0,3.9565,0,18.6228,0,3.30107,0
820,0,0.146742,0,3.91398,0,18.3134,0,3.27175,0
840,0,0.143099,0,3.84074,0,17.9219,0,3.22117,0
860,0,0.140166,0,3.81872,0,17.8417,0,3.19593,0
880,0,0.142006,0,3.84589,0,17.8772,0,3.13751,0
900,0,0.137748,0,3.76072,0,17.4495,0,3.07439,0
920,0,0.142694,0,3.88467,0,17.865,0,3.05064,0
940,0,0.139699,0,3.82681,0,17.6516,0,3.02903,0
960,0,0.145794,0,3.93648,0,18.0206,0,2.96964,0
980,0,0.14508,0,3.89622,0,17.8741,0,2.95165,0
1000,0,0.135145,0,3.70712,0,16.9867,0,2.86198,0
1020,0,0.138824,0,3.83973,0,17.5579,0,2.95512,0
1040,0,0.138426,0,3.7925,0,17.4853,0,2.86138,0
1060,0,0.138943,0,3.7791,0,17.3833,0,2.78651,0
1080,0,0.140134,0,3.77372,0,17.343,0,2.73853,0
1100,0,0.139547,0,3.82541,0,17.5391,0,2.7459,0
1120,0,0.136722,0,3.73629,0,17.0982,0,2.64648,0
1140,0,0.134819,0,3.70553,0,16.9087,0,2.62585,0
1160,0,0.136188,0,3.7215,0,17.0916,0,2.65934,0
1180,0,0.13972,0,3.74674,0,17.0232,0,2.61129,0
1200,0,0.135532,0,3.71285,0,16.9011,0,2.63375,0
1220,0,0.14311,0,3.88066,0,17.7072,0,2.67416,0
1240,0,0.136044,0,3.73817,0,17.054,0,2.588,0
1260,0,0.134438,0,3.68145,0,16.7662,0,2.57222,0
1280,0,0.138315,0,3.80477,0,17.3754,0,2.69481,0
1300,0,0.137315,0,3.68208,0,16.8972,0,2.62246,0
1320,0,0.140677,0,3.75929,0,17.1913,0,2.59217,0
1340,0,0.137907,0,3.68983,0,16.8112,0,2.56272,0
1360,0,0.140258,0,3.72916,0,17.0311,0,2.57148,0
1380,0,0.14072,0,3.83364,0,17.4709,0,2.67704,0
1400,0,0.143909,0,3.92501,0,17.9877,0,2.76809,0
1420,0,0.138918,0,3.77395,0,17.4149,0,2.73764,0
1440,0,0.144139,0,3.87421,0,17.7962,0,2.77548,0
1460,0,0.139174,0,3.70316,0,17.0739,0,2.60612,0
1480,0,0.145593,0,3.77213,0,17.2893,0,2.56264,0
1500,0,0.138332,0,3.64097,0,16.8964,0,2.56101,0
1520,0,0.139579,0,3.73415,0,17.3171,0,2.65599,0
1540,0,0.141979,0,3.79983,0,17.6672,0,2.71967,0
1560,0,0.141592,0,3.82158,0,17.8087,0,2.72018,0
1580,0,0.139837,0,3.68479,0,17.268,0,2.63897,0
1600,0,0.146334,0,3.85466,0,17.9815,0,2.7568,0
1620,0,0.147142,0,3.85497,0,17.9352,0,2.71137,0
1640,0,0.145135,0,3.80807,0,17.7848,0,2.65768,0
1660,0,0.144199,0,3.76405,0,17.5315,0,2.60382,0
1680,0,0.146472,0,3.82046,0,17.8434,0,2.64396,0
