tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,3421.56,0,38124.4,0,481897,0,7612.11,0
20,0,1762.58,0,19576.7,0,247361,0,3905.98,0
40,0,839.28,0,9269.01,0,117144,0,1849.57,0
60,0,439.836,0,4839.21,0,61150.7,0,966.522,0
80,0,247.341,0,2714.76,0,34283.5,0,543.377,0
100,0,148.908,0,1631.37,0,20582.5,0,328.141,0
120,0,90.0988,0,986.962,0,12428.9,0,200.453,0
140,0,56.9724,0,624.052,0,7836.54,0,128.732,0
160,0,37.3831,0,410.624,0,5126.2,0,86.7521,0
180,0,23.8021,0,263.135,0,3259.88,0,57.4844,0
200,0,15.6932,0,176.644,0,2154.1,0,40.6845,0
220,0,10.1249,0,116.101,0,1391.03,0,28.2574,0
240,0,6.48358,0,76.6494,0,891.813,0,20.105,0
260,0,4.24277,0,52.459,0,586.831,0,14.9005,0
280,0,2.73872,0,35.7613,0,380.244,0,10.9933,0
300,0,1.73535,0,24.4756,0,243.463,0,8.21103,0
320,0,1.19276,0,18.203,0,169.02,0,6.37484,0
340,0,0.790151,0,13.6276,0,113.965,0,5.17915,0
360,0,0.5463,0,10.3216,0,79.7709,0,4.14654,0
380,0,0.382977,0,8.03796,0,57.0554,0,3.35002,0
400,0,0.278382,0,6.56335,0,42.8152,0,2.77975,0
420,0,0.208163,0,5.27307,0,31.8735,0,2.2822,0
440,0,0.166192,0,4.4576,0,25.3431,0,1.93696,0
460,0,0.135954,0,3.79451,0,20.5975,0,1.65596,0
480,0,0.115207,0,3.30483,0,17.0072,0,1.44282,0
500,0,0.103388,0,2.95119,0,14.7371,0,1.30002,0
520,0,0.0937554,0,2.68184,0,13.0559,0,1.17263,0
540,0,0.0838454,0,2.41861,0,11.4178,0,1.055,0
560,0,0.0816955,0,2.26098,0,10.5807,0,0.995765,0
580,0,0.0799997,0,2.17107,0,9.91142,0,0.9457,0
600,0,0.0802525,0,2.14463,0,9.61689,0,0.925391,0
620,0,0.0781607,0,2.05714,0,9.14822,0,0.878949,0
640,0,0.07634,0,2.0249,0,8.91678,0,0.860487,0
660,0,0.0763292,0,1.99488,0,8.64213,0,0.850736,0
680,0,0.0778199,0,1.99296,0,8.63857,0,0.839758,0
700,0,0.0796209,0,2.05877,0,8.81986,0,0.870562,0
720,0,0.0811875,0,2.05313,0,8.81055,0,0.849972,0
740,0,0.0719229,0,1.87033,0,7.87903,0,0.805579,0
760,0,0.0747807,0,1.93978,0,8.20363,0,0.837617,0
780,0,0.0771298,0,1.95957,0,8.29593,0,0.838135,0
800,0,0.079035,0,1.98929,0,8.46051,0,0.861849,0
820,0,0.081561,0,2.05432,0,8.70926,0,0.870314,0
840,0,0.0830803,0,2.06095,0,8.90076,0,0.87092,0
860,0,0.0779074,0,1.99931,0,8.47454,0,0.860631,0
880,0,0.0763181,0,1.9981,0,8.47978,0,0.883745,0
900,0,0.0776263,0,1.98509,0,8.34132,0,0.885547,0
920,0,0.0794422,0,1.9784,0,8.39108,0,0.888524,0
940,0,0.0764629,0,1.94722,0,8.18699,0,0.874477,0
960,0,0.08301,0,2.00218,0,8.52271,0,0.87509,0
980,0,0.0880048,0,2.08261,0,8.91284,0,0.901892,0
1000,0,0.082054,0,1.95896,0,8.29657,0,0.859855,0
1020,0,0.0820047,0,1.95012,0,8.33522,0,0.870275,0
1040,0,0.0760302,0,1.83769,0,7.74313,0,0.83224,0
1060,0,0.0783197,0,1.89486,0,7.97248,0,0.869796,0
1080,0,0.0787742,0,1.89672,0,8.0763,0,0.871633,0
1100,0,0.0786168,0,1.94656,0,8.16524,0,0.906241,0
1120,0,0.0839072,0,2.00196,0,8.50634,0,0.933362,0
