tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5186.96,0,57887.7,0,732490,0,11577.9,0
20,0,4584.09,0,51154,0,633951,0,10229.4,0
40,0,3805.46,0,42462,0,537281,0,8488.84,0
60,0,3078.11,0,35030.8,0,443200,0,7004.45,0
80,0,2622.46,0,29234.8,0,369767,0,5848.97,0
100,0,2227.09,0,24819.2,0,313802,0,4969.92,0
120,0,1895.6,0,21107.7,0,266729,0,4231.76,0
140,0,1589.88,0,18144,0,229163,0,3642.85,0
160,0,1389.45,0,15746.9,0,198759,0,3101,0
180,0,1228.19,0,13647.1,0,172160,0,2750.5,0
200,0,1085.56,0,12047.4,0,151893,0,2432.85,0
220,0,954.068,0,10584,0,133365,0,2140.98,0
240,0,835.858,0,9265.35,0,116676,0,1877.56,0
260,0,738.501,0,8177.17,0,102916,0,1659.85,0
280,0,656.071,0,7260.4,0,91330.9,0,1476.3,0
300,0,574.341,0,6469.59,0,81347.9,0,1317.08,0
320,0,522.804,0,5776.25,0,72600.8,0,1177.47,0
340,0,465.059,0,5136.17,0,63465.9,0,1048.27,0
360,0,415.162,0,4581.02,0,57535.7,0,918.067,0
380,0,371.376,0,4095.29,0,51418.8,0,837.334,0
400,0,334.404,0,3685.94,0,46263.6,0,754.347,0
420,0,300.721,0,3313.5,0,41576.9,0,678.509,0
440,0,269.171,0,2964.98,0,37195.2,0,607.477,0
460,0,243.041,0,2675.82,0,33560.4,0,548.495,0
480,0,220.054,0,2421.59,0,30363.5,0,487.938,0
500,0,199.069,0,2191.38,0,27471.3,0,449.627,0
520,0,180.282,0,1983.12,0,24452,0,407.109,0
540,0,162.377,0,1787.12,0,22396.3,0,367.001,0
560,0,147.467,0,1621.95,0,20322.4,0,333.218,0
580,0,133.427,0,1467.39,0,18382.6,0,301.554,0
600,0,120.502,0,1324.87,0,16594.2,0,272.394,0
620,0,109.821,0,1207.15,0,15116.9,0,248.301,0
640,0,99.1651,0,1089.86,0,13397.4,0,224.249,0
660,0,89.1877,0,979.786,0,12265.6,0,201.698,0
680,0,81.732,0,897.591,0,11234.4,0,184.863,0
700,0,72.5473,0,819.416,0,10253.6,0,168.857,0
720,0,67.5941,0,742.188,0,9285.45,0,153.023,0
740,0,61.6803,0,677.305,0,8471.63,0,137.34,0
760,0,56.1027,0,615.913,0,7701.62,0,127.183,0
780,0,51.0377,0,560.02,0,7001,0,115.738,0
800,0,45.5369,0,510.719,0,6382.46,0,105.669,0
820,0,42.3504,0,464.614,0,5804.65,0,96.2299,0
840,0,38.6209,0,417.867,0,5291.16,0,87.8614,0
860,0,34.9893,0,383.886,0,4792.37,0,79.7317,0
880,0,32.0903,0,352.063,0,4393.33,0,73.2453,0
900,0,28.164,0,321.235,0,4006.8,0,66.9565,0
920,0,26.578,0,291.634,0,3635.38,0,60.9451,0
940,0,24.4672,0,268.57,0,3345.85,0,56.2699,0
960,0,22.4189,0,246.117,0,3064.18,0,51.7135,0
980,0,20.3828,0,223.821,0,2784.35,0,47.1829,0
1000,0,18.6263,0,204.597,0,2542.88,0,43.303,0
1020,0,17.0207,0,187.036,0,2322.22,0,39.7678,0
1040,0,15.5097,0,170.549,0,2114.81,0,36.4721,0
1060,0,14.1919,0,156.168,0,1933.73,0,33.6124,0
1080,0,13.0209,0,143.443,0,1773.32,0,31.0988,0
1100,0,11.9218,0,131.506,0,1622.78,0,28.7619,0
1120,0,10.9674,0,121.163,0,1492.03,0,26.7684,0
1140,0,10.0104,0,110.774,0,1360.56,0,24.7663,0
1160,0,9.19094,0,101.945,0,1248.75,0,23.0714,0
1180,0,8.43697,0,93.8152,0,1145.74,0,21.5261,0
1200,0,7.76371,0,86.631,0,1053.85,0,20.2244,0
1220,0,7.088,0,79.4173,0,961.686,0,18.6812,0
1240,0,6.46334,0,72.7247,0,876.178,0,17.7097,0
1260,0,5.93626,0,67.1582,0,804.474,0,16.7527,0
1280,0,5.4645,0,62.1729,0,740.073,0,15.8856,0
1300,0,4.98181,0,57.0797,0,663.347,0,14.9722,0
1320,0,4.57886,0,52.8934,0,619.608,0,14.2365,0
