tick,49,47,45,15,40,46,44,5,39,29,43,26,41,37,17,35,34,36,22,33,32,31,30,20,14,18,16,42,38,28,10,2,13,23,12,19,0,3,48,11,24,1,27,6,21,9,25,7,8,4
0,0.17,0.09,0.12,0.19,0.09,0.08,0.19,0.07,0.1,0.09,0.09,0.07,0.16,0.13,0.09,0.09,0.22,0.06,0.08,0.06,0.06,0.07,0.17,0.09,0.13,0.14,0.06,0.14,0.19,0.07,0.2,0.22,0.12,0.11,0.12,0.1,0.07,0.05,0.09,0.11,0.16,0.08,0.08,0.07,0.1,0.1,0.06,0.14,0.14,0.12
20,0.18,0.12,0.16,0.23,0.21,0.11,0.2,0.12,0.2,0.18,0.18,0.06,0.23,0.2,0.12,0.17,0.27,0.11,0.1,0.12,0.1,0.15,0.28,0.25,0.18,0.19,0.21,0.1,0.12,0.15,0.13,0.15,0.12,0.08,0.2,0.1,0.05,0.16,0.12,0.16,0.11,0.29,0.12,0.07,0.17,0.04,0.14,0.1,0.2,0.2
40,0.28,0.09,0.3,0.33,0.28,0.3,0.22,0.1,0.26,0.31,0.38,0.19,0.43,0.2,0.13,0.17,0.3,0.24,0.27,0.2,0.17,0.18,0.29,0.25,0.27,0.21,0.18,0.23,0.24,0.27,0.2,0.22,0.2,0.2,0.25,0.3,0.08,0.23,0.11,0.26,0.28,0.29,0.25,0.25,0.18,0.38,0.16,0.19,0.31,0.16
60,0.25,0.28,0.25,0.29,0.33,0.19,0.23,0.21,0.36,0.22,0.39,0.29,0.28,0.26,0.42,0.29,0.44,0.23,0.27,0.3,0.29,0.41,0.3,0.21,0.12,0.32,0.43,0.31,0.16,0.39,0.49,0.25,0.26,0.26,0.53,0.24,0.06,0.21,0.24,0.2,0.27,0.28,0.39,0.38,0.46,0.44,0.19,0.34,0.46,0.26
80,0.45,0.39,0.27,0.39,0.29,0.47,0.31,0.49,0.47,0.4,0.46,0.42,0.34,0.54,0.46,0.53,0.49,0.4,0.29,0.33,0.42,0.49,0.5,0.37,0.17,0.54,0.33,0.34,0.27,0.45,0.48,0.52,0.32,0.28,0.42,0.29,0.11,0.23,0.49,0.26,0.26,0.47,0.38,0.38,0.49,0.57,0.23,0.34,0.5,0.29
100,0.5,0.31,0.49,0.53,0.49,0.55,0.49,0.51,0.47,0.32,0.46,0.45,0.28,0.62,0.46,0.38,0.48,0.39,0.31,0.57,0.47,0.54,0.49,0.54,0.36,0.55,0.47,0.34,0.44,0.56,0.5,0.61,0.45,0.27,0.77,0.46,0.16,0.4,0.53,0.37,0.25,0.63,0.35,0.39,0.48,0.63,0.21,0.41,0.61,0.4
120,0.67,0.48,0.59,0.51,0.61,0.67,0.64,0.58,0.48,0.36,0.42,0.52,0.46,0.62,0.48,0.52,0.61,0.55,0.4,0.59,0.55,0.55,0.57,0.56,0.52,0.56,0.58,0.36,0.72,0.56,0.64,0.6,0.67,0.33,0.61,0.53,0.1,0.55,0.54,0.52,0.33,0.67,0.33,0.42,0.57,0.7,0.38,0.43,0.59,0.51
140,0.61,0.64,0.55,0.66,0.58,0.64,0.62,0.53,0.58,0.62,0.57,0.44,0.5,0.73,0.61,0.6,0.57,0.61,0.6,0.58,0.58,0.67,0.67,0.59,0.53,0.5,0.52,0.48,0.69,0.55,0.57,0.54,0.55,0.63,0.61,0.7,0.11,0.76,0.58,0.65,0.56,0.58,0.33,0.52,0.56,0.66,0.37,0.42,0.51,0.48
160,0.64,0.67,0.67,0.6,0.61,0.65,0.53,0.41,0.65,0.58,0.62,0.62,0.55,0.66,0.65,0.75,0.57,0.61,0.53,0.67,0.71,0.59,0.6,0.58,0.39,0.62,0.58,0.6,0.64,0.56,0.62,0.54,0.6,0.5,0.6,0.71,0.05,0.7,0.66,0.58,0.73,0.66,0.39,0.6,0.65,0.67,0.42,0.53,0.59,0.52
