tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5658.22,0,63391,0,801497,0,12658.9,0
20,0,2949.71,0,33027.4,0,417615,0,6591.62,0
40,0,1254.04,0,14071,0,178034,0,2809.52,0
60,0,610.44,0,6872.2,0,86978.7,0,1376.11,0
80,0,322.539,0,3652.32,0,46208,0,735.997,0
100,0,180.477,0,2062.3,0,26043.7,0,420.384,0
120,0,103.917,0,1199.94,0,15103.4,0,249.099,0
140,0,60.9285,0,713.313,0,8918.92,0,153.177,0
160,0,38.7369,0,462.533,0,5717.27,0,104.054,0
180,0,24.6932,0,302.67,0,3670.85,0,72.592,0
200,0,14.8361,0,188.264,0,2224.7,0,48.6535,0
220,0,9.61412,0,127.826,0,1450.93,0,35.9033,0
240,0,6.45615,0,89.9539,0,980.953,0,26.9426,0
260,0,4.07747,0,61.725,0,624.639,0,20.2659,0
280,0,2.6967,0,44.11,0,417.535,0,15.4695,0
300,0,1.77654,0,31.5857,0,277.11,0,11.7672,0
320,0,1.21366,0,23.529,0,191.103,0,9.24761,0
340,0,0.870219,0,18.3087,0,138.185,0,7.51343,0
360,0,0.623448,0,14.1876,0,99.604,0,5.9981,0
380,0,0.44401,0,10.9945,0,71.9154,0,4.77404,0
400,0,0.348814,0,9.12814,0,56.721,0,4.05396,0
420,0,0.267994,0,7.3793,0,43.6931,0,3.30544,0
440,0,0.204025,0,5.85422,0,33.558,0,2.66409,0
460,0,0.166229,0,4.89913,0,27.3546,0,2.26544,0
480,0,0.134579,0,4.02533,0,22.1359,0,1.89174,0
500,0,0.109641,0,3.35694,0,18.2044,0,1.6115,0
520,0,0.0954178,0,2.9355,0,15.737,0,1.43498,0
540,0,0.083213,0,2.53491,0,13.4038,0,1.29153,0
560,0,0.077009,0,2.32854,0,12.3129,0,1.20165,0
580,0,0.0674725,0,2.05168,0,10.6244,0,1.07714,0
600,0,0.0625168,0,1.87417,0,9.69066,0,0.989935,0
620,0,0.0606636,0,1.80213,0,9.2739,0,0.957895,0
640,0,0.0581698,0,1.74159,0,8.86415,0,0.946762,0
660,0,0.0534691,0,1.60167,0,8.09588,0,0.876962,0
680,0,0.0551206,0,1.64233,0,8.32918,0,0.907094,0
700,0,0.0555139,0,1.63435,0,8.23968,0,0.910494,0
720,0,0.0558622,0,1.65215,0,8.31932,0,0.929215,0
740,0,0.0580086,0,1.68892,0,8.65077,0,0.937094,0
760,0,0.0542094,0,1.60258,0,8.03472,0,0.902305,0
780,0,0.0540889,0,1.57159,0,7.89064,0,0.883547,0
800,0,0.0514036,0,1.54218,0,7.54268,0,0.878164,0
820,0,0.0542059,0,1.5905,0,7.91057,0,0.887243,0
840,0,0.0536479,0,1.58088,0,7.73262,0,0.881897,0
860,0,0.0538843,0,1.56917,0,7.84356,0,0.869774,0
880,0,0.0544847,0,1.62279,0,7.92548,0,0.918998,0
900,0,0.0542275,0,1.60725,0,7.96731,0,0.91643,0
920,0,0.0561232,0,1.62959,0,8.20023,0,0.911513,0
940,0,0.0519468,0,1.54971,0,7.58557,0,0.866031,0
960,0,0.0527889,0,1.54995,0,7.67122,0,0.862009,0
980,0,0.0539527,0,1.58947,0,7.84146,0,0.881756,0
1000,0,0.0515705,0,1.53508,0,7.5802,0,0.872466,0
1020,0,0.0536582,0,1.59387,0,7.8925,0,0.902117,0
1040,0,0.0533771,0,1.56377,0,7.85799,0,0.891774,0
1060,0,0.0513265,0,1.51787,0,7.64954,0,0.860943,0
1080,0,0.0529316,0,1.52202,0,7.7055,0,0.858268,0
1100,0,0.0542656,0,1.5729,0,7.85044,0,0.900523,0
1120,0,0.0533208,0,1.57089,0,7.76603,0,0.896601,0
1140,0,0.0539362,0,1.56464,0,7.80344,0,0.885116,0
1160,0,0.0552559,0,1.58583,0,7.95773,0,0.89118,0
1180,0,0.0531417,0,1.55837,0,7.7677,0,0.896182,0
1200,0,0.0580618,0,1.63144,0,8.30659,0,0.933035,0
1220,0,0.0571698,0,1.59182,0,8.12843,0,0.904414,0
1240,0,0.0585452,0,1.60486,0,8.2054,0,0.90515,0
1260,0,0.0543667,0,1.54434,0,7.64681,0,0.884743,0
1280,0,0.052321,0,1.49417,0,7.44307,0,0.866043,0
1300,0,0.0516911,0,1.46766,0,7.3087,0,0.846184,0
1320,0,0.0504481,0,1.46448,0,7.14405,0,0.845916,0
1340,0,0.0519835,0,1.51108,0,7.41712,0,0.872441,0
1360,0,0.0538224,0,1.53574,0,7.57335,0,0.889122,0
1380,0,0.0566809,0,1.58588,0,7.89109,0,0.903684,0
1400,0,0.0549665,0,1.55498,0,7.7283,0,0.900501,0
1420,0,0.0549601,0,1.56777,0,7.7821,0,0.916743,0
1440,0,0.0560812,0,1.55265,0,7.80057,0,0.890447,0
1460,0,0.0568035,0,1.58359,0,7.90734,0,0.91416,0
1480,0,0.0543545,0,1.52933,0,7.63892,0,0.90304,0
1500,0,0.0531409,0,1.51733,0,7.60069,0,0.892952,0
1520,0,0.0561953,0,1.55747,0,7.84112,0,0.91871,0
1540,0,0.0568872,0,1.59548,0,8.01697,0,0.947671,0
1560,0,0.0574972,0,1.57165,0,7.95564,0,0.924247,0
1580,0,0.0571696,0,1.59979,0,8.10664,0,0.960905,0
1600,0,0.0563548,0,1.57858,0,7.92968,0,0.948501,0
1620,0,0.0540508,0,1.53738,0,7.62871,0,0.930688,0
1640,0,0.0553629,0,1.53272,0,7.61394,0,0.90968,0
1660,0,0.0578071,0,1.60126,0,8.01364,0,0.940203,0
1680,0,0.0567459,0,1.54999,0,7.80465,0,0.920897,0
1700,0,0.058294,0,1.58863,0,8.08269,0,0.955428,0
1720,0,0.057267,0,1.55164,0,7.96134,0,0.942901,0
1740,0,0.0581914,0,1.56676,0,8.06664,0,0.956573,0
1760,0,0.0578954,0,1.54124,0,7.91185,0,0.926725,0
1780,0,0.0568216,0,1.5398,0,7.78919,0,0.948007,0
1800,0,0.0580879,0,1.56524,0,7.92409,0,0.956267,0
1820,0,0.0593032,0,1.54245,0,7.99097,0,0.935137,0
1840,0,0.0611176,0,1.6027,0,8.19594,0,0.969907,0
1860,0,0.0601118,0,1.58649,0,8.0297,0,0.959795,0
1880,0,0.0588492,0,1.56244,0,8.04103,0,0.957803,0
1900,0,0.0606194,0,1.59451,0,8.13862,0,0.97952,0
1920,0,0.0560783,0,1.54434,0,7.89825,0,0.978061,0
1940,0,0.0543838,0,1.47131,0,7.57524,0,0.916478,0
1960,0,0.0567592,0,1.55037,0,7.89959,0,0.954424,0
1980,0,0.0568957,0,1.55517,0,7.87027,0,0.956682,0
2000,0,0.0542123,0,1.46365,0,7.49546,0,0.895479,0
2020,0,0.0598668,0,1.56485,0,8.06319,0,0.943295,0
2040,0,0.0568693,0,1.52302,0,7.81586,0,0.918319,0
2060,0,0.0557529,0,1.508,0,7.65518,0,0.910286,0
2080,0,0.0551849,0,1.48635,0,7.6112,0,0.909007,0
2100,0,0.0622783,0,1.60361,0,8.23677,0,0.964104,0
2120,0,0.0589854,0,1.56814,0,8.00064,0,0.969049,0
2140,0,0.0586185,0,1.5218,0,7.89555,0,0.932386,0
2160,0,0.058435,0,1.53255,0,7.94067,0,0.950975,0
2180,0,0.0609619,0,1.58088,0,8.22707,0,0.962419,0
2200,0,0.059687,0,1.56566,0,8.10165,0,0.956163,0
2220,0,0.0589586,0,1.55777,0,8.08172,0,0.963935,0
2240,0,0.0617495,0,1.61409,0,8.39508,0,0.991162,0
2260,0,0.0609655,0,1.60011,0,8.23318,0,0.975135,0
2280,0,0.0567235,0,1.5118,0,7.83377,0,0.947686,0
2300,0,0.0630839,0,1.58378,0,8.2377,0,0.964083,0
2320,0,0.0617494,0,1.56933,0,8.16846,0,0.96415,0
2340,0,0.0610016,0,1.54853,0,8.06953,0,0.952921,0
2360,0,0.0628453,0,1.55887,0,8.22184,0,0.972876,0
2380,0,0.0620221,0,1.58261,0,8.3296,0,1.00553,0
2400,0,0.0638295,0,1.60276,0,8.39701,0,1.01769,0
2420,0,0.0618731,0,1.58119,0,8.2877,0,1.0125,0
2440,0,0.0665788,0,1.65452,0,8.67767,0,1.02816,0
2460,0,0.0609698,0,1.55917,0,8.12565,0,0.979173,0
2480,0,0.0609623,0,1.59329,0,8.36874,0,1.00857,0
2500,0,0.06089,0,1.56239,0,8.13822,0,0.974728,0
2520,0,0.0653857,0,1.60604,0,8.41337,0,0.987644,0
2540,0,0.0606832,0,1.56082,0,8.09051,0,0.991602,0
2560,0,0.0639495,0,1.62463,0,8.4302,0,1.04226,0
2580,0,0.0584875,0,1.54151,0,8.01696,0,0.996451,0
2600,0,0.0622215,0,1.55122,0,8.12755,0,0.974819,0
2620,0,0.0635139,0,1.56447,0,8.26117,0,0.977231,0
2640,0,0.0618588,0,1.52754,0,8.0215,0,0.966457,0
2660,0,0.0631014,0,1.53392,0,8.14167,0,0.976098,0
2680,0,0.0653784,0,1.57945,0,8.3581,0,0.987338,0
2700,0,0.0597321,0,1.51442,0,7.93572,0,0.957116,0
2720,0,0.0626246,0,1.54708,0,8.11796,0,0.960911,0
2740,0,0.0699116,0,1.58405,0,8.37694,0,0.94675,0
2760,0,0.062861,0,1.53313,0,8.01312,0,0.970258,0
2780,0,0.0627856,0,1.55234,0,8.18383,0,0.991182,0
2800,0,0.0627767,0,1.562,0,8.19503,0,0.996696,0
2820,0,0.0694708,0,1.67218,0,8.72387,0,1.04458,0
2840,0,0.063425,0,1.56119,0,8.1632,0,0.980351,0
2860,0,0.0673782,0,1.59258,0,8.43844,0,0.974413,0
2880,0,0.0704624,0,1.59096,0,8.46852,0,0.962787,0
