tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,3253.78,0,36161.8,0,457345,0,7024.59,0
20,0,1956.69,0,21604.9,0,273643,0,4346.06,0
40,0,1300.08,0,14318.6,0,181592,0,2888.85,0
60,0,969.69,0,10709.7,0,135954,0,2164.5,0
80,0,770.445,0,8535.59,0,108335,0,1725.17,0
100,0,651.294,0,7232.47,0,91790.4,0,1461.87,0
120,0,554.219,0,6168.15,0,78267.6,0,1246.53,0
140,0,491.437,0,5472.66,0,69435.2,0,1106.02,0
160,0,434.688,0,4849.88,0,61528.5,0,979.741,0
180,0,388.095,0,4330.86,0,54938.7,0,874.671,0
200,0,348.089,0,3889.53,0,49337.9,0,785.486,0
220,0,313.938,0,3509.92,0,44521.2,0,708.946,0
240,0,283.433,0,3168.54,0,40190.1,0,639.997,0
260,0,256.245,0,2867.53,0,36372.2,0,579.306,0
280,0,231.356,0,2594.96,0,32918.3,0,524.249,0
300,0,207.731,0,2329.76,0,29551.5,0,470.837,0
320,0,188.264,0,2110.51,0,26769,0,426.502,0
340,0,169.871,0,1903.69,0,24144,0,384.718,0
360,0,154.818,0,1736.43,0,22022.5,0,351.007,0
380,0,141.003,0,1580.53,0,20043.2,0,319.496,0
400,0,126.767,0,1423,0,18046.2,0,279.412,0
420,0,114.322,0,1282.92,0,16268.6,0,259.393,0
440,0,103.079,0,1157.09,0,14671.7,0,234.032,0
460,0,93.4631,0,1049.21,0,13302.8,0,212.237,0
480,0,85.6577,0,961.21,0,12185.6,0,194.459,0
500,0,77.1552,0,866.69,0,10986.7,0,175.427,0
520,0,69.9828,0,785.845,0,9960.22,0,159.128,0
540,0,63.6798,0,715.69,0,9070.29,0,144.99,0
560,0,57.246,0,643.977,0,8160.57,0,130.512,0
580,0,51.6842,0,581.082,0,7361.92,0,117.798,0
600,0,47.4751,0,533.837,0,6762.78,0,108.259,0
620,0,43.2628,0,486.783,0,6165.65,0,98.7718,0
640,0,39.3249,0,442.618,0,5605.02,0,89.8833,0
660,0,35.679,0,401.715,0,5086.08,0,81.6347,0
680,0,32.2787,0,363.392,0,4599.71,0,73.8983,0
700,0,29.6821,0,334.353,0,4231.26,0,68.0435,0
720,0,26.6708,0,300.736,0,3804.86,0,61.2617,0
740,0,24.4452,0,275.833,0,3488.59,0,56.2516,0
760,0,22.2329,0,250.914,0,3172.3,0,51.2143,0
