tick,49,47,45,15,40,46,44,5,39,29,43,26,41,37,17,35,34,36,22,33,32,31,30,20,14,18,16,42,38,28,10,2,13,23,12,19,0,3,48,11,24,1,27,6,21,9,25,7,8,4
0,0.16,0.08,0.1,0.12,0.09,0.08,0.09,0.08,0.09,0.09,0.14,0.08,0.09,0.04,0.08,0.12,0.13,0.11,0.07,0.12,0.11,0.09,0.01,0.16,0.07,0.12,0.06,0.1,0.06,0.06,0.09,0.21,0.15,0.09,0.17,0.12,0.07,0.08,0.1,0.09,0.21,0.11,0.09,0.11,0.05,0.13,0.13,0.06,0.04,0.04
20,0.12,0.14,0.1,0.09,0.13,0.08,0.07,0.14,0.09,0.13,0.07,0.08,0.06,0.07,0.14,0.08,0.09,0.09,0.06,0.1,0.14,0.14,0.02,0.2,0.04,0.12,0.07,0.11,0.05,0.08,0.09,0.07,0.09,0.13,0.08,0.13,0.1,0.11,0.11,0.11,0.17,0.05,0.15,0.19,0.07,0.18,0.03,0.14,0.22,0.11
40,0.11,0.09,0.2,0.07,0.09,0.05,0.13,0.21,0.11,0.08,0.07,0.12,0.1,0.04,0.11,0.12,0.15,0.05,0.13,0.13,0.06,0.17,0.12,0.08,0.06,0.19,0.07,0.08,0.1,0.14,0.14,0.1,0.11,0.17,0.1,0.15,0.11,0.1,0.1,0.21,0.11,0.09,0.22,0.24,0.09,0.08,0.08,0.09,0.22,0.17
60,0.22,0.09,0.14,0.07,0.15,0.1,0.18,0.13,0.1,0.14,0.14,0.14,0.13,0.05,0.07,0.16,0.18,0.06,0.18,0.08,0.12,0.13,0.11,0.09,0.08,0.16,0.09,0.08,0.14,0.14,0.06,0.15,0.11,0.09,0.12,0.15,0.09,0.06,0.15,0.11,0.08,0.07,0.18,0.21,0.11,0.25,0.1,0.13,0.13,0.11
80,0.16,0.15,0.11,0.07,0.12,0.11,0.09,0.16,0.21,0.2,0.08,0.18,0.14,0.01,0.22,0.1,0.18,0.07,0.14,0.21,0.1,0.18,0.2,0.08,0.08,0.11,0.13,0.13,0.12,0.11,0.1,0.09,0.18,0.1,0.15,0.14,0.1,0.12,0.24,0.18,0.13,0.17,0.2,0.14,0.14,0.13,0.09,0.17,0.16,0.1
100,0.15,0.15,0.15,0.15,0.24,0.15,0.16,0.17,0.15,0.13,0.11,0.22,0.23,0.08,0.2,0.11,0.31,0.02,0.19,0.16,0.08,0.21,0.27,0.11,0.06,0.17,0.11,0.11,0.17,0.18,0.13,0.13,0.09,0.13,0.15,0.17,0.05,0.13,0.15,0.16,0.15,0.08,0.2,0.17,0.08,0.1,0.17,0.12,0.18,0.05
120,0.23,0.07,0.13,0.13,0.09,0.12,0.13,0.2,0.14,0.17,0.2,0.19,0.27,0.13,0.2,0.11,0.19,0.11,0.13,0.12,0.11,0.19,0.27,0.08,0.11,0.24,0.14,0.1,0.2,0.18,0.19,0.09,0.14,0.11,0.15,0.18,0.05,0.08,0.16,0.15,0.09,0.13,0.23,0.25,0.17,0.1,0.19,0.19,0.21,0.14
140,0.17,0.17,0.22,0.17,0.19,0.11,0.17,0.24,0.18,0.14,0.19,0.19,0.29,0.2,0.11,0.18,0.21,0.09,0.18,0.11,0.1,0.18,0.12,0.14,0.18,0.27,0.11,0.12,0.15,0.15,0.17,0.1,0.19,0.18,0.17,0.17,0.16,0.1,0.11,0.2,0.1,0.08,0.21,0.21,0.15,0.16,0.13,0.18,0.22,0.12
160,0.23,0.12,0.19,0.15,0.15,0.18,0.2,0.21,0.19,0.29,0.18,0.31,0.19,0.21,0.19,0.16,0.17,0.14,0.2,0.09,0.07,0.22,0.22,0.19,0.12,0.14,0.12,0.25,0.17,0.22,0.1,0.12,0.17,0.19,0.2,0.16,0.12,0.12,0.2,0.23,0.15,0.05,0.16,0.21,0.17,0.16,0.11,0.2,0.14,0.21
180,0.17,0.1,0.26,0.11,0.19,0.13,0.21,0.34,0.17,0.37,0.24,0.25,0.27,0.17,0.19,0.18,0.18,0.19,0.22,0.11,0.18,0.22,0.3,0.12,0.19,0.21,0.24,0.34,0.25,0.21,0.12,0.08,0.18,0.19,0.28,0.26,0.13,0.07,0.23,0.25,0.14,0.09,0.16,0.15,0.21,0.12,0.19,0.21,0.21,0.2
200,0.22,0.16,0.16,0.11,0.19,0.1,0.21,0.27,0.17,0.25,0.26,0.14,0.25,0.23,0.16,0.26,0.28,0.16,0.26,0.15,0.12,0.16,0.21,0.19,0.12,0.2,0.15,0.27,0.18,0.15,0.15,0.12,0.21,0.17,0.23,0.25,0.12,0.19,0.16,0.2,0.2,0.06,0.16,0.24,0.13,0.12,0.16,0.2,0.17,0.25
220,0.23,0.21,0.17,0.13,0.19,0.21,0.2,0.27,0.21,0.31,0.35,0.18,0.24,0.29,0.21,0.14,0.11,0.21,0.25,0.12,0.16,0.26,0.25,0.22,0.19,0.25,0.29,0.27,0.2,0.26,0.12,0.15,0.18,0.27,0.24,0.23,0.08,0.17,0.21,0.22,0.21,0.09,0.21,0.23,0.17,0.1,0.13,0.29,0.2,0.18
