tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,3384.56,0,37692,0,476593,0,7540.27,0
20,0,2674.87,0,29676.4,0,375391,0,5937.1,0
40,0,2198.7,0,24304.1,0,307615,0,4861.97,0
60,0,1951.37,0,21535.4,0,272728,0,4309.8,0
80,0,1786.88,0,19709.7,0,249746,0,3945.93,0
100,0,1661.94,0,18327.4,0,232301,0,3670.71,0
120,0,1566.36,0,17274.3,0,219000,0,3460.87,0
140,0,1491.11,0,16449,0,208570,0,3296.71,0
160,0,1426.96,0,15745.3,0,199664,0,3156.82,0
180,0,1375.45,0,15171.8,0,192415,0,3043.22,0
200,0,1327.39,0,14637,0,185651,0,2937.21,0
220,0,1286.21,0,14177.8,0,179830,0,2846.15,0
240,0,1250.49,0,13779.1,0,174772,0,2767.58,0
260,0,1216.62,0,13400.3,0,169967,0,2692.63,0
280,0,1189.28,0,13093,0,166065,0,2632.52,0
300,0,1165.28,0,12819.9,0,162597,0,2579.38,0
320,0,1138.79,0,12518.8,0,158773,0,2520.16,0
340,0,1113.93,0,12235.4,0,155166,0,2465.06,0
360,0,1092.42,0,11989.1,0,152028,0,2417.29,0
380,0,1072.52,0,11762.3,0,149145,0,2373.56,0
400,0,1054.51,0,11553.4,0,146480,0,2333.15,0
420,0,1040.35,0,11384.5,0,144324,0,2301.36,0
440,0,1020.71,0,11157.1,0,141423,0,2257.56,0
460,0,1004.95,0,10975.3,0,139103,0,2222.98,0
480,0,990.387,0,10805,0,136921,0,2190.84,0
500,0,976.456,0,10642.5,0,134839,0,2160.44,0
520,0,964.301,0,10498.2,0,132984,0,2133.86,0
540,0,950.573,0,10338.8,0,130936,0,2103.99,0
560,0,938.492,0,10193.7,0,129070,0,2076.93,0
580,0,927.491,0,10064.8,0,127407,0,2053.25,0
600,0,918.313,0,9955.04,0,125983,0,2033.97,0
620,0,906.212,0,9813.4,0,124155,0,2007.71,0
640,0,904.047,0,9776.38,0,123646,0,2003.98,0
660,0,890.581,0,9619.96,0,121623,0,1974.76,0
680,0,872.984,0,9421.01,0,119046,0,1936.61,0
700,0,868.052,0,9355.95,0,118190,0,1927.26,0
720,0,863.962,0,9299.19,0,117425,0,1919.09,0
740,0,866.579,0,9312.36,0,117543,0,1926.31,0
760,0,845.571,0,9081.42,0,114560,0,1881.82,0
780,0,838.701,0,8994.99,0,113409,0,1806.16,0
800,0,834.017,0,8931.46,0,112535,0,1859.38,0
820,0,827.121,0,8844.79,0,111368,0,1846.02,0
840,0,833.185,0,8891.53,0,111886,0,1861.01,0
860,0,818.709,0,8727.44,0,109730,0,1831.47,0
880,0,810.966,0,8631.32,0,108432,0,1816.46,0
900,0,806.242,0,8566.47,0,107523,0,1808.24,0
920,0,800.091,0,8485.74,0,106400,0,1797.35,0
940,0,794.138,0,8407,0,105285,0,1787.15,0
960,0,793.955,0,8388.1,0,104935,0,1789.98,0
980,0,787.898,0,8304.82,0,103760,0,1779.34,0
1000,0,786.069,0,8270.04,0,103191,0,1779.35,0
1020,0,793.492,0,8326.65,0,103757,0,1800.01,0
1040,0,789.604,0,8260.51,0,102738,0,1795.59,0
1060,0,780.783,0,8145.09,0,101087,0,1780.55,0
1080,0,776.904,0,8081.18,0,100084,0,1777.03,0
1100,0,776.302,0,8047.19,0,99425,0,1780.8,0
1120,0,774.551,0,8000.31,0,98586.6,0,1783.31,0
1140,0,775.422,0,7973.73,0,97933.2,0,1792.64,0
1160,0,776.412,0,7945.18,0,97219.6,0,1803.15,0
1180,0,780.208,0,7939.4,0,96715.5,0,1820.86,0
1200,0,782.815,0,7920.83,0,96072.4,0,1835.47,0
1220,0,786.798,0,7911.76,0,95462.4,0,1855.63,0
1240,0,791.121,0,7900.34,0,94782.5,0,1876.76,0
1260,0,793.011,0,7872.57,0,93988.9,0,1890.62,0
1280,0,801.665,0,7897.37,0,93635.7,0,1924.84,0
1300,0,813.88,0,7939.11,0,93300.9,0,1970.78,0
1320,0,819.287,0,7927.22,0,92504.2,0,1996.91,0
1340,0,828.06,0,7950.68,0,92136.9,0,2031.61,0
1360,0,834.857,0,7955.92,0,91579.5,0,2061.96,0
1380,0,843.774,0,7978.74,0,91191,0,2097.76,0
1400,0,851.404,0,7992.75,0,90714.1,0,2130.26,0
1420,0,859.829,0,8017.93,0,90403,0,2165.94,0
1440,0,867.145,0,8025.17,0,89813.9,0,2198.98,0
1460,0,873.452,0,8029.12,0,89259.3,0,2228.82,0
1480,0,883.352,0,8062.78,0,88980.3,0,2269.36,0
1500,0,890.515,0,8079.06,0,88599.8,0,2300.32,0
1520,0,898.63,0,8102.88,0,88262.8,0,2334.23,0
1540,0,905.277,0,8105.51,0,87615.8,0,2366.57,0
1560,0,914.75,0,8135.46,0,87264.3,0,2405.13,0
1580,0,924.687,0,8169.9,0,86970.9,0,2444.66,0
1600,0,936.795,0,8218.16,0,86739.4,0,2489.97,0
1620,0,946.148,0,8251.97,0,86463.6,0,2529.15,0
1640,0,954.418,0,8276.96,0,86093.8,0,2564.27,0
1660,0,965.315,0,8312.75,0,85701.9,0,2607,0
1680,0,973.853,0,8341.37,0,85394.9,0,2642.22,0
1700,0,987.106,0,8393.89,0,85098.3,0,2695.79,0
1720,0,1002.18,0,8463.51,0,84985.4,0,2755.15,0
1740,0,1015.97,0,8521.48,0,84731.4,0,2807.77,0
1760,0,1034.95,0,8620.26,0,84868.3,0,2875.05,0
1780,0,1041.26,0,8624.49,0,84228.5,0,2907.79,0
1800,0,1055.8,0,8687.09,0,83984.9,0,2965.61,0
1820,0,1067.5,0,8735.45,0,83783.6,0,3013.93,0
1840,0,1081.88,0,8801.41,0,83616.7,0,3071.42,0
1860,0,1093.72,0,8852.89,0,83483.5,0,3119.48,0
1880,0,1104.87,0,8899.64,0,83246.1,0,3170.05,0
1900,0,1116.47,0,8949.26,0,83041.7,0,3219.09,0
1920,0,1126.62,0,8988.23,0,82763.8,0,3265.56,0
1940,0,1136.36,0,9029.31,0,82560.1,0,3310.14,0
1960,0,1148.64,0,9088.52,0,82487.2,0,3358.36,0
1980,0,1155.2,0,9103.83,0,82027.2,0,3393.38,0
2000,0,1166.77,0,9168.05,0,82115.5,0,3442.87,0
2020,0,1169.45,0,9171.11,0,81799.3,0,3464.53,0
2040,0,1174.57,0,9195.36,0,81640.9,0,3494.57,0
2060,0,1177.63,0,9191.86,0,81122.9,0,3518.09,0
2080,0,1182.82,0,9223.68,0,81096.1,0,3549.51,0
2100,0,1185.24,0,9224.47,0,80670.1,0,3570.34,0
2120,0,1186.88,0,9237.13,0,80543.6,0,3591.67,0
2140,0,1189.01,0,9244.14,0,80249.6,0,3612.28,0
2160,0,1186.64,0,9226.83,0,79836.2,0,3620.9,0
2180,0,1190.13,0,9248.57,0,79712.1,0,3645.92,0
2200,0,1191.62,0,9255.38,0,79496.4,0,3663.91,0
2220,0,1207.44,0,9380.08,0,80342.3,0,3725.75,0
2240,0,1202.95,0,9344.46,0,79752.2,0,3725.96,0
2260,0,1199.33,0,9321.85,0,79249.3,0,3729.48,0
2280,0,1198.04,0,9313.88,0,78855.1,0,3740.79,0
2300,0,1199.61,0,9329.99,0,78681.2,0,3759.18,0
2320,0,1199.82,0,9337.23,0,78470.6,0,3773.33,0
2340,0,1198.38,0,9341.4,0,78332.3,0,3783.73,0
2360,0,1197.21,0,9338.58,0,78035.4,0,3790.02,0
2380,0,1196.14,0,9343.64,0,77864.1,0,3798.73,0
2400,0,1197.2,0,9355.76,0,77677.9,0,3812.05,0
2420,0,1194.97,0,9346.32,0,77351.4,0,3813.21,0
2440,0,1194.36,0,9358.73,0,77292,0,3823.71,0
2460,0,1193.39,0,9360.79,0,77084.2,0,3830.07,0
2480,0,1191.17,0,9364.16,0,76888.7,0,3835.27,0
2500,0,1191.28,0,9373.33,0,76691.3,0,3845.15,0
2520,0,1184.32,0,9345.93,0,76339.2,0,3834.22,0
2540,0,1185.88,0,9370.58,0,76299.4,0,3848.05,0
2560,0,1184.17,0,9378.82,0,76155.6,0,3851.73,0
2580,0,1181.86,0,9376.44,0,75886.1,0,3852.79,0
2600,0,1182.42,0,9400.79,0,75908.7,0,3863.34,0
2620,0,1182.17,0,9420.31,0,75765,0,3870.81,0
2640,0,1181.42,0,9429.85,0,75605.2,0,3874.86,0
2660,0,1183.55,0,9457.59,0,75521.8,0,3886.53,0
2680,0,1185.1,0,9482.47,0,75403.5,0,3897.36,0
2700,0,1184.37,0,9476.78,0,75082.4,0,3898.85,0
2720,0,1187.59,0,9503.79,0,75088,0,3912.06,0
2740,0,1188.75,0,9508.8,0,74888.5,0,3918,0
2760,0,1217.69,0,9717.59,0,76282.6,0,4012.57,0
2780,0,1199.06,0,9572.91,0,74872.5,0,3955.62,0
2800,0,1192.66,0,9521.9,0,74255.7,0,3939.39,0
2820,0,1191.88,0,9505.11,0,73978,0,3938.7,0
2840,0,1194.41,0,9511.89,0,73909.1,0,3949.42,0
2860,0,1196.36,0,9525.1,0,73932.1,0,3960.68,0
2880,0,1195.64,0,9505.69,0,73633.2,0,3960.99,0
2900,0,1193.07,0,9482.62,0,73358.8,0,3955.24,0
2920,0,1194.59,0,9481.9,0,73222.6,0,3963.1,0
2940,0,1193.84,0,9464.19,0,72988.2,0,3963.69,0
2960,0,1191.05,0,9436.4,0,72700.1,0,3957.83,0
2980,0,1196.05,0,9468.38,0,72871.2,0,3975.77,0
3000,0,1193.51,0,9440.64,0,72559.1,0,3972.6,0
3020,0,1191.21,0,9417.75,0,72338.3,0,3969.1,0
3040,0,1189.67,0,9397.35,0,72103.2,0,3966.5,0
3060,0,1189.62,0,9393.14,0,71971.2,0,3972.55,0
3080,0,1188.7,0,9378.78,0,71795.8,0,3972.68,0
