tick,49,47,45,15,40,46,44,5,39,29,43,26,41,37,17,35,34,36,22,33,32,31,30,20,14,18,16,42,38,28,10,2,13,23,12,19,0,3,48,11,24,1,27,6,21,9,25,7,8,4
0,0.19,0.1,0.03,0.11,0.11,0.09,0.09,0.11,0.06,0.2,0.16,0.09,0.12,0.06,0.08,0.03,0.17,0.09,0.09,0.11,0.15,0.11,0.02,0.12,0.06,0.09,0.06,0.12,0.19,0.17,0.09,0.14,0.1,0.11,0.16,0.11,0.14,0.19,0.09,0.15,0.14,0.11,0.09,0.14,0.11,0.05,0.19,0.06,0.11,0.22
20,0.19,0.22,0.12,0.22,0.21,0.16,0.26,0.25,0.21,0.16,0.15,0.08,0.21,0.07,0.15,0.16,0.18,0.12,0.09,0.22,0.22,0.27,0.2,0.26,0.21,0.28,0.17,0.2,0.16,0.07,0.14,0.18,0.23,0.15,0.12,0.18,0.18,0.13,0.24,0.15,0.19,0.13,0.18,0.15,0.15,0.16,0.18,0.18,0.15,0.17
40,0.4,0.28,0.37,0.3,0.3,0.31,0.3,0.35,0.32,0.31,0.37,0.27,0.38,0.21,0.38,0.35,0.29,0.38,0.32,0.24,0.39,0.32,0.25,0.24,0.38,0.21,0.4,0.3,0.38,0.27,0.25,0.26,0.32,0.36,0.31,0.31,0.31,0.35,0.39,0.38,0.26,0.31,0.36,0.23,0.36,0.32,0.3,0.37,0.35,0.26
60,0.42,0.38,0.44,0.35,0.4,0.4,0.48,0.34,0.39,0.3,0.44,0.4,0.44,0.36,0.47,0.32,0.39,0.4,0.45,0.41,0.38,0.3,0.32,0.46,0.34,0.38,0.38,0.36,0.49,0.46,0.41,0.33,0.39,0.38,0.4,0.4,0.35,0.39,0.44,0.39,0.39,0.43,0.31,0.36,0.49,0.4,0.41,0.4,0.34,0.36
80,0.39,0.4,0.34,0.48,0.45,0.41,0.46,0.42,0.44,0.4,0.4,0.41,0.47,0.32,0.35,0.38,0.4,0.4,0.36,0.48,0.46,0.33,0.44,0.44,0.33,0.42,0.41,0.39,0.52,0.35,0.46,0.39,0.33,0.44,0.4,0.34,0.44,0.41,0.41,0.43,0.43,0.45,0.32,0.42,0.37,0.35,0.38,0.45,0.38,0.27
100,0.4,0.45,0.38,0.37,0.36,0.49,0.4,0.38,0.56,0.27,0.49,0.47,0.44,0.35,0.49,0.37,0.43,0.52,0.48,0.42,0.39,0.55,0.54,0.36,0.47,0.5,0.57,0.44,0.45,0.45,0.53,0.4,0.41,0.43,0.4,0.39,0.39,0.37,0.41,0.49,0.44,0.56,0.5,0.54,0.48,0.37,0.4,0.34,0.41,0.37
120,0.66,0.49,0.4,0.55,0.49,0.54,0.42,0.6,0.53,0.62,0.61,0.6,0.47,0.51,0.41,0.46,0.51,0.5,0.52,0.52,0.54,0.55,0.55,0.47,0.52,0.48,0.51,0.59,0.57,0.55,0.61,0.58,0.54,0.47,0.46,0.48,0.55,0.41,0.55,0.49,0.53,0.48,0.52,0.59,0.64,0.52,0.45,0.61,0.52,0.37
140,0.6,0.59,0.53,0.61,0.63,0.62,0.61,0.62,0.65,0.62,0.57,0.61,0.66,0.62,0.55,0.66,0.64,0.52,0.56,0.57,0.6,0.71,0.67,0.62,0.6,0.57,0.58,0.59,0.52,0.68,0.54,0.53,0.6,0.65,0.6,0.55,0.58,0.57,0.6,0.64,0.65,0.52,0.62,0.55,0.65,0.47,0.7,0.61,0.63,0.58
160,0.67,0.49,0.72,0.66,0.56,0.61,0.6,0.62,0.64,0.49,0.65,0.64,0.62,0.61,0.6,0.62,0.71,0.7,0.57,0.59,0.6,0.62,0.68,0.64,0.66,0.56,0.61,0.58,0.61,0.66,0.65,0.63,0.59,0.56,0.62,0.57,0.59,0.71,0.64,0.72,0.59,0.57,0.56,0.66,0.61,0.69,0.65,0.69,0.68,0.55
