tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,2801.38,0,31618.5,0,400099,0,6327.19,0
20,0,693.55,0,7833.13,0,99140.1,0,1567.46,0
40,0,173.002,0,1958.2,0,24758.6,0,394.15,0
60,0,43.1699,0,499.765,0,6211.86,0,108.842,0
80,0,21.932,0,296.281,0,3235.29,0,89.2112,0
100,0,7.28031,0,159.591,0,1132.24,0,65.3818,0
120,0,4.86724,0,119.225,0,663.787,0,50.4057,0
140,0,5.60876,0,126.823,0,660.985,0,53.0488,0
160,0,6.23011,0,117.548,0,590.112,0,47.9081,0
180,0,6.74498,0,116.013,0,570.318,0,47.135,0
200,0,8.61773,0,124.846,0,581.684,0,48.6983,0
220,0,11.5402,0,157.195,0,736.323,0,63.3938,0
240,0,12.2401,0,160.075,0,759.496,0,67.2515,0
260,0,12.7648,0,161.47,0,785.277,0,71.6888,0
280,0,13.9507,0,164.101,0,794.897,0,74.4625,0
300,0,17.9879,0,195.66,0,957.818,0,93.0452,0
320,0,15.616,0,173.981,0,900.927,0,87.5235,0
340,0,14.0977,0,158.14,0,882.696,0,86.8356,0
360,0,13.9306,0,150.202,0,860.049,0,85.7583,0
380,0,11.9103,0,134.449,0,850.561,0,84.6389,0
400,0,13.349,0,145.132,0,958.184,0,96.0565,0
420,0,12.5306,0,148.743,0,1069.24,0,108.006,0
440,0,11.1126,0,151.684,0,1188.13,0,118.152,0
460,0,9.72806,0,138.249,0,1120.33,0,110.269,0
480,0,8.40911,0,130.603,0,1061.09,0,100.525,0
500,0,5.14981,0,90.2557,0,809.824,0,77.7442,0
520,0,4.92193,0,88.7659,0,774.184,0,71.7607,0
540,0,6.33306,0,115.401,0,1056.01,0,99.1767,0
560,0,6.71277,0,124.028,0,1140.41,0,107.396,0
580,0,5.22438,0,108.445,0,988.917,0,90.1131,0
600,0,5.56884,0,124.345,0,1188.23,0,106.273,0
620,0,6.15902,0,131.085,0,1197.46,0,105.462,0
640,0,6.60949,0,136.644,0,1207.81,0,102.475,0
660,0,7.23888,0,145.698,0,1345.39,0,116.102,0
680,0,6.32645,0,130.588,0,1172.58,0,97.2698,0
700,0,5.42263,0,112.345,0,1021.71,0,83.372,0
720,0,4.03788,0,85.5456,0,770.27,0,62.142,0
740,0,6.97183,0,153.834,0,1384.42,0,110.925,0
760,0,3.75663,0,83.6424,0,748.479,0,59.9651,0
780,0,4.59548,0,98.1152,0,862.182,0,67.7631,0
800,0,4.39053,0,101.46,0,861.02,0,67.1145,0
820,0,4.38274,0,106.105,0,935.122,0,71.7005,0
840,0,3.91714,0,94.4385,0,828.276,0,62.5287,0
860,0,3.68231,0,80.0272,0,689.132,0,51.3079,0
880,0,4.50498,0,96.0618,0,818.305,0,62.4088,0
900,0,3.89406,0,87.2399,0,745.776,0,55.9555,0
920,0,6.49721,0,146.91,0,1277.46,0,95.1014,0
940,0,6.60904,0,146.183,0,1262.16,0,92.9792,0
960,0,6.22971,0,136.377,0,1187.7,0,86.8535,0
980,0,3.0436,0,64.0603,0,549.4,0,40.9062,0
1000,0,6.05966,0,130.326,0,1110.49,0,82.6028,0
1020,0,5.86117,0,126.727,0,1054.31,0,78.7693,0
1040,0,6.16686,0,136.27,0,1116.53,0,83.6105,0
1060,0,5.69038,0,128.203,0,1079.09,0,79.894,0
1080,0,5.40656,0,125.348,0,1053.79,0,78.1689,0
1100,0,2.72723,0,64.8911,0,552.921,0,41.013,0
1120,0,3.2923,0,78.0332,0,660.244,0,48.9452,0
1140,0,4.08997,0,92.4673,0,774.993,0,58.1313,0
1160,0,3.80252,0,85.584,0,720.024,0,53.3906,0
1180,0,3.8052,0,83.0083,0,686.972,0,50.3487,0
1200,0,3.23803,0,72.2177,0,611.965,0,44.7222,0
1220,0,3.76236,0,80.6952,0,668.398,0,49.1621,0
1240,0,4.58762,0,101.972,0,831.977,0,61.0051,0
1260,0,2.80311,0,62.2931,0,499.73,0,36.3385,0
1280,0,4.30728,0,97.3597,0,785.368,0,58.8608,0
1300,0,4.88591,0,109.286,0,918.317,0,68.0372,0
1320,0,2.92912,0,64.5299,0,531.109,0,38.7597,0
1340,0,3.72636,0,83.3795,0,691.836,0,51.3115,0
1360,0,3.20357,0,75.5807,0,631.112,0,46.7757,0
1380,0,3.41547,0,84.2519,0,700.627,0,52.1389,0
1400,0,6.07807,0,148.375,0,1240.37,0,91.7453,0
1420,0,5.99863,0,140.98,0,1169.54,0,85.6877,0
1440,0,5.93245,0,137.522,0,1117.61,0,81.2848,0
1460,0,4.5295,0,108.463,0,898.964,0,65.6777,0
1480,0,3.50561,0,84.7989,0,710.527,0,51.9001,0
1500,0,4.72509,0,110.041,0,891.625,0,65.8558,0
1520,0,4.8374,0,112.004,0,889.854,0,65.6371,0
1540,0,4.45185,0,103.724,0,827.597,0,60.064,0
1560,0,4.94217,0,110.088,0,901.023,0,64.8614,0
1580,0,5.2016,0,122.494,0,986.099,0,71.7367,0
1600,0,3.55982,0,83.5646,0,678.934,0,50.0834,0
1620,0,3.48457,0,79.7907,0,652.614,0,47.7251,0
1640,0,4.49335,0,99.1343,0,773.632,0,56.3251,0
1660,0,4.43244,0,98.3148,0,786.52,0,56.6537,0
1680,0,3.55586,0,81.1795,0,649.775,0,46.4838,0
1700,0,3.7094,0,84.8199,0,682.587,0,48.8373,0
1720,0,3.68426,0,83.3262,0,664.377,0,47.1386,0
1740,0,4.57648,0,104.066,0,824.172,0,59.0538,0
1760,0,5.1553,0,113.631,0,892.018,0,63.2811,0
1780,0,5.26098,0,117.592,0,939.263,0,66.7367,0
1800,0,3.84582,0,86.2899,0,707.032,0,49.9492,0
1820,0,3.34376,0,77.0597,0,637.758,0,45.0233,0
1840,0,4.30858,0,93.6754,0,748.375,0,52.9985,0
1860,0,4.49562,0,97.9705,0,785.198,0,55.0109,0
1880,0,4.21772,0,98.6847,0,820.638,0,58.7677,0
1900,0,3.9619,0,91.3937,0,767.908,0,54.0898,0
1920,0,3.78068,0,87.4202,0,724.262,0,51.1668,0
1940,0,3.73342,0,85.1802,0,715.831,0,50.3028,0
1960,0,3.80299,0,86.1115,0,718.875,0,50.3636,0
1980,0,3.90777,0,88.9109,0,722.671,0,51.0058,0
2000,0,4.1235,0,95.2511,0,777.021,0,55.2899,0
2020,0,3.91021,0,98.8745,0,827.818,0,58.6746,0
2040,0,4.71086,0,108.203,0,869.203,0,61.1734,0
2060,0,5.14506,0,107.501,0,850.005,0,59.6426,0
2080,0,4.14595,0,95.4721,0,801.221,0,55.9617,0
2100,0,4.47804,0,104.515,0,883.282,0,61.9635,0
2120,0,5.363,0,124.991,0,1052.81,0,74.4916,0
2140,0,3.07879,0,70.6199,0,559.525,0,39.2483,0
2160,0,3.30999,0,74.9897,0,593.187,0,41.2125,0
2180,0,5.95405,0,134.8,0,1093.12,0,76.0327,0
2200,0,5.31539,0,121.11,0,978.459,0,67.9695,0
2220,0,4.46208,0,101.276,0,831.189,0,58.1545,0
2240,0,4.55296,0,102.145,0,824.353,0,57.9614,0
2260,0,3.96914,0,89.4065,0,724.222,0,50.2567,0
2280,0,4.24766,0,94.0646,0,751.599,0,51.6545,0
2300,0,4.02946,0,92.9643,0,781.162,0,54.5998,0
2320,0,4.83464,0,114.415,0,958.772,0,67.598,0
2340,0,4.55689,0,103.286,0,846.974,0,58.8884,0
2360,0,4.27211,0,94.131,0,760.4,0,52.4142,0
2380,0,4.80249,0,107.627,0,874.348,0,61.3409,0
2400,0,4.95817,0,110.272,0,906.662,0,63.0787,0
2420,0,4.94454,0,108.826,0,856.762,0,59.1746,0
2440,0,5.51481,0,127.936,0,1004.28,0,69.9867,0
2460,0,5.02769,0,116.853,0,948.297,0,65.7362,0
2480,0,4.57601,0,103.64,0,812.802,0,54.6883,0
2500,0,4.707,0,110.433,0,858.148,0,57.6087,0
2520,0,3.43505,0,84.8108,0,684.13,0,46.2207,0
2540,0,5.70672,0,142.626,0,1173.24,0,80.5373,0
2560,0,5.20056,0,129.1,0,1066.18,0,74.2645,0
2580,0,4.87942,0,116.88,0,978.955,0,67.5128,0
2600,0,2.62081,0,64.408,0,550.761,0,37.7326,0
2620,0,4.0412,0,96.1231,0,781.485,0,53.6495,0
2640,0,3.9744,0,92.9629,0,757.498,0,51.8712,0
2660,0,3.81023,0,86.2892,0,708.881,0,48.5192,0
2680,0,3.14917,0,72.8958,0,598.146,0,40.9669,0
2700,0,5.67037,0,130.377,0,1063.94,0,72.0698,0
2720,0,4.88132,0,117.346,0,946.198,0,64.291,0
2740,0,5.00028,0,120.927,0,993.043,0,68.2973,0
2760,0,4.98236,0,121.937,0,1022.18,0,69.8947,0
2780,0,4.84992,0,114.807,0,956.583,0,64.8094,0
2800,0,5.3089,0,120.099,0,962.143,0,65.0997,0
2820,0,5.54847,0,127.905,0,993.752,0,66.7091,0
2840,0,3.9955,0,95.1589,0,748.598,0,49.3999,0
2860,0,3.40089,0,81.2757,0,677.583,0,45.5012,0
2880,0,4.09237,0,97.8821,0,792.044,0,54.8343,0
2900,0,5.02543,0,109.91,0,852.955,0,58.2204,0
2920,0,3.13346,0,66.8035,0,510.488,0,34.7991,0
2940,0,4.17904,0,93.4461,0,714.103,0,48.5171,0
2960,0,4.36507,0,97.8691,0,782.041,0,53.0902,0
2980,0,4.34275,0,99.9194,0,808.271,0,54.3576,0
3000,0,4.10162,0,97.5708,0,786.134,0,53.0239,0
3020,0,4.28623,0,101.581,0,831.577,0,56.7355,0
3040,0,4.7664,0,116.107,0,971.621,0,66.0612,0
3060,0,5.04041,0,125.862,0,1059.25,0,71.5184,0
3080,0,4.16171,0,107.114,0,925.096,0,62.044,0
3100,0,4.64504,0,108.384,0,885.163,0,58.906,0
3120,0,4.27667,0,94.7339,0,752.486,0,48.9487,0
3140,0,3.81106,0,89.5997,0,713.9,0,47.2889,0
3160,0,3.1957,0,78.3922,0,629.067,0,41.7415,0
3180,0,3.82309,0,90.0531,0,712.958,0,47.7732,0
3200,0,3.94661,0,95.4261,0,786,0,52.2973,0
3220,0,3.78164,0,94.5331,0,776.082,0,52.1195,0
3240,0,6.06314,0,149.01,0,1230.95,0,81.0181,0
3260,0,3.57694,0,81.1484,0,638.525,0,42.9343,0
3280,0,3.06491,0,70.3851,0,589.978,0,39.0583,0
3300,0,2.83065,0,67.7315,0,573.578,0,38.4018,0
3320,0,2.85341,0,68.087,0,560.679,0,37.3045,0
3340,0,3.75744,0,87.7061,0,709.437,0,47.6184,0
3360,0,3.81652,0,87.9737,0,693.699,0,46.0962,0
3380,0,4.34513,0,98.2874,0,755.63,0,49.4471,0
3400,0,4.25853,0,98.827,0,796.708,0,52.5071,0
3420,0,3.96522,0,93.1804,0,762.57,0,50.5504,0
3440,0,3.47508,0,84.507,0,685.524,0,45.7253,0
3460,0,3.39063,0,77.7967,0,643.23,0,42.6872,0
3480,0,4.94198,0,115.593,0,947.397,0,63.9458,0
3500,0,4.34797,0,104.029,0,863.414,0,58.0424,0
3520,0,3.40703,0,85.9195,0,722.391,0,49.1331,0
3540,0,6.12757,0,141.937,0,1167.99,0,77.1405,0
3560,0,5.80913,0,132.833,0,1088.08,0,71.1496,0
3580,0,5.80969,0,129.747,0,1039.63,0,69.0168,0
3600,0,2.91189,0,67.0142,0,533.951,0,35.6231,0
3620,0,3.60213,0,80.2718,0,634.491,0,42.997,0
3640,0,3.61236,0,78.217,0,606.95,0,40.252,0
3660,0,5.96181,0,132.006,0,1086.95,0,72.5491,0
3680,0,2.69228,0,63.4407,0,524.127,0,35.1014,0
3700,0,2.87077,0,69.6471,0,577.069,0,38.948,0
3720,0,2.72905,0,64.1132,0,535.947,0,36.468,0
3740,0,2.94398,0,70.3112,0,591.582,0,40.4189,0
3760,0,3.42366,0,82.9745,0,686.691,0,46.7694,0
3780,0,3.23795,0,77.0537,0,615.227,0,40.8336,0
3800,0,4.92797,0,112.761,0,866.389,0,57.8028,0
3820,0,5.19556,0,107.481,0,790.333,0,51.6567,0
3840,0,3.25759,0,76.1386,0,605.672,0,39.5978,0
3860,0,3.6755,0,88.3774,0,704.054,0,46.6209,0
3880,0,4.61527,0,113.409,0,884.422,0,58.295,0
3900,0,4.56629,0,115.881,0,922.023,0,60.348,0
3920,0,3.76133,0,92.2795,0,739.819,0,48.1838,0
3940,0,3.70629,0,89.7723,0,725.985,0,47.5996,0
3960,0,4.39754,0,101.903,0,798.237,0,52.6986,0
