tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,3421.44,0,37951.1,0,480440,0,7595.42,0
20,0,2702.19,0,29945.2,0,378960,0,5990.31,0
40,0,2197.54,0,24611.8,0,311312,0,4922.29,0
60,0,1971.22,0,21916.8,0,277202,0,4386.65,0
80,0,1826.83,0,20310,0,256865,0,4068.87,0
100,0,1706.8,0,18975.8,0,239966,0,3803.69,0
120,0,1616.58,0,17956.5,0,227069,0,3604.06,0
140,0,1536.05,0,17047,0,215581,0,3426.18,0
160,0,1476.97,0,16385.5,0,207194,0,3295.98,0
180,0,1403.98,0,15749.1,0,199108,0,3170.76,0
200,0,1382.8,0,15350.2,0,194030,0,3094.69,0
220,0,1334.59,0,14812.7,0,183110,0,2917.64,0
240,0,1286.37,0,14214.5,0,174983,0,2814.93,0
260,0,1255.46,0,13921.6,0,175890,0,2812.21,0
280,0,1228.99,0,13630.4,0,172179,0,2756.33,0
300,0,1170.2,0,13272.1,0,167612,0,2686.18,0
320,0,1174.25,0,13021.3,0,164413,0,2637.45,0
340,0,1149.36,0,12748.1,0,160927,0,2585.09,0
360,0,1127.54,0,12505.6,0,157834,0,2538.64,0
380,0,1102.6,0,12230.5,0,154321,0,2485.58,0
400,0,1086.54,0,12046.8,0,151955,0,2450.59,0
420,0,1065.62,0,11816.3,0,149008,0,2406.8,0
440,0,1047.43,0,11617.7,0,146465,0,2369.06,0
460,0,1030.06,0,11422.8,0,143965,0,2332.34,0
480,0,1014.73,0,11253.3,0,141778,0,2301.15,0
500,0,1002.26,0,11113.9,0,139973,0,2276.06,0
520,0,968.788,0,10957.5,0,135022,0,2227,0
540,0,974.825,0,10805.2,0,135977,0,2220.02,0
560,0,957.074,0,10605.7,0,133419,0,2182.06,0
580,0,946.356,0,10487.9,0,131878,0,2161.88,0
600,0,936.682,0,10378.7,0,130450,0,2142.88,0
620,0,928.345,0,10280.9,0,129146,0,2127.37,0
640,0,915.085,0,10130,0,127185,0,2100.19,0
660,0,905.286,0,10018.1,0,125703,0,2082.21,0
680,0,887.903,0,9811.03,0,123034,0,2043.39,0
700,0,885.639,0,9786.95,0,122638,0,2043.94,0
720,0,878.974,0,9707.71,0,121552,0,2032.88,0
740,0,870.316,0,9608.66,0,120226,0,2017.54,0
760,0,865.464,0,9551.15,0,119410,0,2011.51,0
780,0,854.885,0,9430.16,0,117795,0,1992.54,0
800,0,848.305,0,9348.69,0,116665,0,1914.67,0
820,0,841.783,0,9268.34,0,115525,0,1972.84,0
840,0,836.181,0,9196.8,0,114500,0,1965.26,0
860,0,820.575,0,9003.49,0,111944,0,1932.06,0
880,0,822.557,0,9023.22,0,112052,0,1944.27,0
900,0,816.652,0,8946.52,0,110929,0,1937.62,0
920,0,805.335,0,8883.53,0,109959,0,1934.51,0
940,0,808.463,0,8827.48,0,109081,0,1932.79,0
960,0,805.741,0,8780.14,0,108281,0,1934.34,0
980,0,803.588,0,8732.57,0,107417,0,1938.7,0
1000,0,801.692,0,8692.89,0,106686,0,1943.39,0
1020,0,801.126,0,8663.19,0,106028,0,1952.45,0
1040,0,796.485,0,8586.25,0,104770,0,1951.2,0
1060,0,798.408,0,8571.97,0,104192,0,1969.02,0
1080,0,797.805,0,8527.82,0,103227,0,1980.16,0
1100,0,800.507,0,8515.41,0,102605,0,2001.17,0
1120,0,804.046,0,8359.17,0,101823,0,2027.22,0
1140,0,808.135,0,8493.36,0,101211,0,2052.78,0
1160,0,812.018,0,8477.76,0,100412,0,2079.35,0
1180,0,819.259,0,8496.09,0,99979,0,2116.13,0
1200,0,831.21,0,8567.46,0,100173,0,2166.31,0
1220,0,833.474,0,8518.94,0,98830.2,0,2191.04,0
1240,0,840.243,0,8525.93,0,98213.1,0,2228.11,0
1260,0,845.891,0,8522.85,0,97488.7,0,2261.64,0
1280,0,854.843,0,8548.22,0,97053.4,0,2306.13,0
1300,0,864.883,0,8581.72,0,96650.7,0,2355.42,0
1320,0,872.586,0,8594.03,0,95999,0,2399.86,0
1340,0,881.872,0,8621.58,0,95516.7,0,2449.65,0
1360,0,890.414,0,8644.56,0,94994.8,0,2498.12,0
1380,0,899.089,0,8670.53,0,94520.4,0,2545.61,0
1400,0,908.366,0,8698.13,0,94015.4,0,2596.5,0
1420,0,919.234,0,8744.16,0,93719.3,0,2653.78,0
1440,0,931.777,0,8796.56,0,93364.9,0,2718.58,0
1460,0,943.936,0,8852.67,0,93134.8,0,2780.66,0
1480,0,954.91,0,8904.82,0,92876.7,0,2840.34,0
1500,0,957.905,0,8881.54,0,91886.2,0,2872.23,0
1520,0,970.093,0,8963.08,0,92027.8,0,2939.56,0
1540,0,979.576,0,9007.76,0,89845.1,0,2994.72,0
1560,0,987.314,0,9042.68,0,91450.1,0,3045.53,0
1580,0,995.559,0,9077.89,0,91115.1,0,3097.22,0
1600,0,1001.68,0,9107.88,0,90765.3,0,3148.92,0
1620,0,1009.43,0,9150.73,0,90569.6,0,3200.18,0
1640,0,990.548,0,9183.61,0,90223,0,3252.83,0
1660,0,1021.51,0,9208.48,0,89852,0,3299.7,0
1680,0,1026.4,0,9237.1,0,89567.1,0,3346.47,0
1700,0,1015.12,0,9260.62,0,89304.9,0,3387.26,0
1720,0,1032.85,0,9280.8,0,89024.4,0,3427.32,0
1740,0,1036.02,0,9272.61,0,88749,0,3469.35,0
1760,0,1038.12,0,9326.19,0,88472.5,0,3507.84,0
1780,0,1037.55,0,9331.47,0,88121.3,0,3527.82,0
1800,0,1038.36,0,9350.95,0,87895.2,0,3575.68,0
1820,0,1038.41,0,9362.91,0,87627.3,0,3607.72,0
1840,0,1036.52,0,9363.33,0,87246.9,0,3632.85,0
1860,0,1036.82,0,9389.43,0,87111.5,0,3669.3,0
1880,0,1036.38,0,9401.74,0,86860.4,0,3697.67,0
1900,0,1037.18,0,9428.55,0,86752.7,0,3731.66,0
1920,0,1034.22,0,9426.32,0,86361,0,3754.67,0
1940,0,1031.72,0,9431.8,0,86076.8,0,3778.78,0
1960,0,1029.68,0,9438.83,0,85805.9,0,3801.96,0
1980,0,1028.46,0,9452.03,0,85576.2,0,3827.36,0
2000,0,1026.65,0,9465.33,0,85316.3,0,3855.64,0
2020,0,1035.5,0,9586.26,0,86070.2,0,3923.63,0
2040,0,1024.96,0,9522.05,0,85146.9,0,3915.62,0
2060,0,1021.68,0,9527.19,0,83795.8,0,3875.92,0
2080,0,1017.82,0,9537.17,0,84594.1,0,3960.71,0
2100,0,1014.34,0,9546.24,0,84358.9,0,3982.13,0
2120,0,1011.02,0,9549.51,0,84074.6,0,4001.8,0
2140,0,994.471,0,9576.67,0,82833,0,4028.43,0
2160,0,1004.36,0,9557.57,0,83789.7,0,4047.45,0
2180,0,962.987,0,9604.64,0,83635.5,0,4072.32,0
2200,0,1001.29,0,9626.45,0,83550.2,0,4096.33,0
2220,0,999.233,0,9624.41,0,83248.6,0,4109.3,0
2240,0,998.944,0,9645.66,0,83153.9,0,4133.53,0
2260,0,998.376,0,9648.17,0,82914.9,0,4149.41,0
2280,0,996.326,0,9632.49,0,82548.7,0,4155.09,0
2300,0,997.039,0,9638.06,0,82369.7,0,4170.43,0
2320,0,997.416,0,9636.36,0,82186.9,0,4182.57,0
2340,0,1002.32,0,9674.62,0,82388.4,0,4210.34,0
2360,0,998.757,0,9638.41,0,81916.4,0,4207.26,0
2380,0,996.427,0,9611.94,0,81596.6,0,4205.16,0
2400,0,993.99,0,9579.89,0,81213.4,0,4125.36,0
2420,0,948.657,0,9575.11,0,81076.5,0,4211.61,0
2440,0,992.481,0,9553,0,80787,0,4212.42,0
2460,0,989.241,0,9516.03,0,80352.7,0,4207.23,0
2480,0,945.822,0,9498.84,0,80164.5,0,4205.49,0
2500,0,986.947,0,9484.03,0,79916.1,0,4209.07,0
2520,0,990.397,0,9510.2,0,80079.9,0,4228.67,0
2540,0,986.337,0,9468.66,0,79647.6,0,4218.72,0
2560,0,983.851,0,9440.73,0,79302.9,0,4214.48,0
2580,0,983.508,0,9432.92,0,79149.9,0,4219.14,0
2600,0,984.558,0,9437.97,0,79071.9,0,4231.17,0
2620,0,981.255,0,9402.53,0,78667.5,0,4222.8,0
2640,0,979.068,0,9233.3,0,78345.7,0,4217.15,0
2660,0,1001.11,0,9574.71,0,80008.5,0,4310.91,0
2680,0,983.485,0,9409.49,0,78498.8,0,4246.52,0
2700,0,978.334,0,9358.85,0,77972.5,0,4230.38,0
2720,0,975.626,0,9329.21,0,77653.7,0,4222.75,0
2740,0,952.1,0,9110.61,0,75727.6,0,4130.93,0
2760,0,969.928,0,9269.1,0,76969,0,4208.02,0
2780,0,970.199,0,9269.38,0,76914.5,0,4213.23,0
2800,0,970.853,0,9271.43,0,76805,0,4220.45,0
2820,0,968.747,0,9248.83,0,76539.6,0,4214.38,0
2840,0,967.605,0,9234.33,0,76315.7,0,4213.83,0
2860,0,966.529,0,9220.82,0,76106.5,0,4214.41,0
2880,0,964.189,0,9194.29,0,75772.5,0,4208.69,0
2900,0,964.72,0,9196.64,0,75710.6,0,4213.96,0
2920,0,962.97,0,9176.76,0,75453.1,0,4209.72,0
2940,0,962.177,0,9165.97,0,75269,0,4209.1,0
2960,0,960.978,0,9151.41,0,75033.9,0,4208.18,0
2980,0,961.068,0,9148.22,0,74914,0,4211.37,0
3000,0,959.426,0,9129.18,0,74647.8,0,4207.26,0
3020,0,958.105,0,9113.46,0,74410.6,0,4205.64,0
3040,0,957.953,0,9109.08,0,74294.2,0,4208.92,0
3060,0,955.736,0,9085.1,0,73996.9,0,4203.52,0
3080,0,955.384,0,9077.85,0,73866,0,4204.24,0
3100,0,955.225,0,9072.82,0,73768.1,0,4205.25,0
3120,0,953.614,0,9054.97,0,73526,0,4202.5,0
3140,0,952.781,0,9044.27,0,73355.6,0,4201.58,0
3160,0,959.685,0,9103.92,0,73771.1,0,4232.33,0
3180,0,952.623,0,9036.37,0,73099.5,0,4205.45,0
3200,0,951.956,0,9026.8,0,72960.6,0,4204.06,0
3220,0,950.699,0,9013.86,0,72752.8,0,4202.04,0
