tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5614.92,0,62773.5,0,794003,0,12527.6,0
20,0,1356.81,0,15183,0,192047,0,3029.95,0
40,0,325.561,0,3644.65,0,46097.5,0,727.855,0
60,0,154.323,0,1772.56,0,22359.2,0,359.685,0
80,0,37.7213,0,440.929,0,5394.71,0,101.342,0
100,0,9.32185,0,136.795,0,1378.08,0,43.8229,0
120,0,3.00064,0,70.1758,0,466.181,0,27.7763,0
140,0,1.53109,0,43.9656,0,234.241,0,18.122,0
160,0,1.07833,0,31.9936,0,161.409,0,13.2307,0
180,0,0.813001,0,24.0733,0,120.157,0,9.90466,0
200,0,1.23174,0,36.4985,0,182.215,0,15.0372,0
220,0,0.954002,0,28.5831,0,142.889,0,11.8138,0
240,0,0.757243,0,22.4017,0,112.015,0,9.26743,0
260,0,0.562021,0,16.841,0,83.9971,0,6.92034,0
280,0,0.432939,0,12.8903,0,64.3865,0,5.31793,0
300,0,0.322171,0,9.49202,0,47.5334,0,3.92225,0
320,0,0.230005,0,6.82529,0,34.3592,0,2.84127,0
340,0,0.197114,0,5.6706,0,29.0106,0,2.42162,0
360,0,0.156753,0,4.61248,0,23.0863,0,1.93676,0
380,0,0.121799,0,3.62477,0,18.2816,0,1.54007,0
400,0,0.104935,0,3.11767,0,15.7068,0,1.32938,0
420,0,0.13891,0,4.06625,0,20.6585,0,1.74941,0
440,0,0.111022,0,3.1567,0,15.947,0,1.35613,0
460,0,0.0826977,0,2.31772,0,11.6967,0,1.00015,0
480,0,0.0673178,0,1.87401,0,9.53184,0,0.820432,0
500,0,0.060554,0,1.68469,0,8.49115,0,0.759837,0
520,0,0.0808969,0,2.26319,0,11.2866,0,1.02766,0
540,0,0.0690345,0,1.91511,0,9.43268,0,0.871099,0
560,0,0.0683118,0,1.78649,0,8.87209,0,0.791495,0
580,0,0.0610641,0,1.518,0,7.49526,0,0.657983,0
600,0,0.0548176,0,1.36595,0,6.66406,0,0.579552,0
620,0,0.0478849,0,1.21,0,5.77011,0,0.528136,0
640,0,0.0435088,0,1.10001,0,5.11938,0,0.486158,0
660,0,0.0713693,0,1.80736,0,8.36535,0,0.789567,0
