tick,197,192,191,190,187,186,183,182,178,176,174,173,180,172,170,168,167,166,164,162,161,160,158,157,155,154,152,151,150,149,148,147,145,188,144,143,140,138,137,134,132,130,129,133,127,54,52,159,50,48,46,37,96,49,53,61,103,163,111,6,55,62,184,31,194,57,56,79,29,139,99,10,27,39,11,90,18,9,36,108,76,22,85,198,8,35,40,0,67,38,17,41,28,175,95,4,42,5,30,169,58,115,16,156,106,7,65,45,13,47,32,74,15,185,118,34,128,117,146,26,21,153,105,86,141,23,24,14,20,2,189,179,25,193,84,60,136,63,12,64,142,66,181,120,70,68,177,71,72,73,59,75,165,77,78,199,81,80,82,83,87,171,88,44,89,91,131,19,116,122,92,102,93,135,124,98,43,100,196,101,3,104,33,107,109,125,195,110,97,112,1,113,69,114,119,51,94,121,123,126
0,0.05,0.11,0.14,0.14,0.05,0.06,0.16,0.12,0.14,0.1,0.17,0.08,0.05,0.05,0.13,0.09,0.08,0.14,0.16,0.12,0.08,0.09,0.03,0.1,0.18,0.12,0.08,0.13,0.1,0.11,0.04,0.07,0.09,0.13,0.14,0.11,0.16,0.1,0.11,0.11,0.07,0.07,0.06,0.06,0.08,0.1,0.05,0.08,0.08,0.11,0.07,0.22,0.19,0.05,0.05,0.11,0.05,0.07,0.19,0.11,0.11,0.09,0.09,0.1,0.08,0.23,0.13,0.14,0.06,0.04,0.15,0.12,0.14,0.19,0.13,0.14,0.16,0.13,0.09,0.08,0.08,0.07,0.04,0.18,0.08,0.15,0.12,0.13,0.17,0.02,0.06,0.13,0.07,0.06,0.11,0.09,0.18,0.11,0.1,0.07,0.11,0.11,0.09,0.13,0.09,0.14,0.15,0.14,0.12,0.18,0.16,0.14,0.16,0.14,0.08,0.08,0.06,0.14,0.16,0.1,0.13,0.12,0.09,0.1,0.04,0.12,0.11,0.19,0.09,0.14,0.1,0.11,0.09,0.06,0.21,0.11,0.03,0.19,0.09,0.03,0.02,0.1,0.18,0.16,0.13,0.08,0.1,0.1,0.09,0.17,0.1,0.08,0.07,0.03,0.17,0.14,0.17,0.1,0.16,0.07,0.09,0.11,0.15,0.07,0.08,0.13,0.08,0.17,0.14,0.11,0.1,0.11,0.13,0.13,0.13,0.07,0.07,0.06,0.12,0.11,0.08,0.07,0.1,0.11,0.04,0.11,0.09,0.09,0.13,0.08,0.08,0.13,0.08,0.03,0.09,0.2,0.08,0.07,0.08,0.19
20,0.08,0.14,0.14,0.08,0.14,0.06,0.11,0.05,0.14,0.13,0.15,0.16,0.14,0.08,0.11,0.13,0.1,0.11,0.12,0.11,0.14,0.18,0.11,0.1,0.07,0.18,0.07,0.19,0.12,0.13,0.07,0.05,0.1,0.04,0.16,0.2,0.1,0.14,0.15,0.1,0.1,0.12,0.08,0.08,0.09,0.1,0.11,0.07,0.13,0.08,0.09,0.17,0.13,0.09,0.12,0.22,0.1,0.08,0.07,0.08,0.18,0.12,0.14,0.1,0.1,0.16,0.07,0.07,0.07,0.08,0.12,0.08,0.14,0.16,0.13,0.12,0.08,0.13,0.1,0.05,0.12,0.16,0.09,0.14,0.12,0.11,0.14,0.11,0.12,0.09,0.17,0.06,0.08,0.04,0.09,0.21,0.14,0.07,0.09,0.18,0.14,0.16,0.21,0.08,0.1,0.07,0.23,0.29,0.13,0.11,0.18,0.17,0.14,0.11,0.2,0.1,0.1,0.13,0.07,0.21,0.09,0.12,0.1,0.12,0.08,0.16,0.14,0.13,0.08,0.17,0.12,0.15,0.12,0.14,0.23,0.15,0.06,0.15,0.06,0.12,0.09,0.07,0.16,0.16,0.2,0.1,0.1,0.15,0.09,0.03,0.19,0.08,0.07,0.11,0.26,0.1,0.11,0.1,0.15,0.1,0.25,0.18,0.09,0.11,0.21,0.1,0.11,0.1,0.1,0.17,0.16,0.08,0.17,0.1,0.23,0.11,0.13,0.14,0.14,0.13,0.05,0.14,0.06,0.12,0.04,0.09,0.22,0.06,0.21,0.04,0.06,0.14,0.16,0.19,0.13,0.19,0.08,0.18,0.22,0.23
40,0.13,0.08,0.1,0.12,0.05,0.05,0.07,0.14,0.14,0.11,0.22,0.08,0.05,0.06,0.08,0.19,0.11,0.12,0.13,0.11,0.17,0.2,0.19,0.09,0.14,0.15,0.11,0.16,0.16,0.1,0.1,0.06,0.11,0.02,0.14,0.22,0.12,0.09,0.14,0.11,0.16,0.23,0.16,0.12,0.11,0.14,0.09,0.07,0.11,0.06,0.1,0.19,0.1,0.05,0.08,0.18,0.09,0.13,0.08,0.15,0.14,0.12,0.14,0.09,0.07,0.19,0.09,0.15,0.12,0.03,0.1,0.03,0.11,0.15,0.16,0.14,0.12,0.17,0.1,0.07,0.1,0.1,0.09,0.16,0.1,0.11,0.13,0.12,0.14,0.08,0.15,0.1,0.11,0.06,0.14,0.26,0.14,0.15,0.1,0.16,0.11,0.13,0.24,0.1,0.11,0.09,0.19,0.14,0.16,0.1,0.1,0.17,0.08,0.13,0.09,0.1,0.11,0.1,0.06,0.12,0.13,0.07,0.11,0.18,0.1,0.06,0.19,0.09,0.1,0.15,0.1,0.2,0.1,0.1,0.19,0.14,0.09,0.15,0.07,0.13,0.11,0.13,0.09,0.24,0.19,0.14,0.1,0.07,0.18,0.07,0.15,0.07,0.14,0.17,0.27,0.12,0.08,0.12,0.14,0.14,0.2,0.15,0.15,0.14,0.1,0.12,0.07,0.17,0.15,0.15,0.18,0.08,0.06,0.07,0.17,0.16,0.06,0.08,0.11,0.14,0.12,0.11,0.1,0.14,0.16,0.1,0.13,0.11,0.18,0.08,0.11,0.11,0.17,0.19,0.1,0.14,0.16,0.12,0.13,0.17
60,0.09,0.07,0.09,0.1,0.13,0.11,0.05,0.1,0.14,0.14,0.16,0.15,0.16,0.15,0.08,0.12,0.09,0.14,0.08,0.09,0.12,0.11,0.18,0.15,0.15,0.12,0.08,0.18,0.2,0.14,0.16,0.06,0.09,0.02,0.12,0.14,0.14,0.09,0.1,0.15,0.08,0.14,0.11,0.11,0.16,0.21,0.11,0.15,0.12,0.15,0.14,0.16,0.13,0.19,0.11,0.16,0.19,0.14,0.17,0.17,0.18,0.11,0.19,0.09,0.13,0.22,0.07,0.06,0.11,0.14,0.21,0.06,0.12,0.1,0.3,0.16,0.15,0.13,0.07,0.08,0.15,0.14,0.07,0.09,0.16,0.11,0.17,0.11,0.1,0.03,0.12,0.13,0.07,0.14,0.06,0.22,0.08,0.1,0.15,0.1,0.11,0.13,0.22,0.11,0.1,0.1,0.2,0.25,0.08,0.21,0.13,0.12,0.17,0.07,0.09,0.11,0.11,0.09,0.09,0.07,0.07,0.08,0.16,0.18,0.06,0.11,0.08,0.13,0.11,0.21,0.09,0.18,0.15,0.06,0.14,0.1,0.08,0.2,0.06,0.14,0.07,0.12,0.09,0.18,0.1,0.17,0.21,0.11,0.17,0.13,0.16,0.13,0.1,0.07,0.17,0.08,0.13,0.11,0.06,0.21,0.18,0.07,0.14,0.21,0.14,0.16,0.08,0.12,0.1,0.1,0.16,0.1,0.05,0.12,0.1,0.2,0.19,0.12,0.16,0.13,0.21,0.14,0.09,0.18,0.18,0.08,0.13,0.07,0.12,0.08,0.21,0.12,0.09,0.25,0.16,0.24,0.08,0.1,0.14,0.11
80,0.09,0.14,0.12,0.09,0.06,0.09,0.05,0.1,0.05,0.06,0.1,0.09,0.13,0.09,0.04,0.14,0.12,0.08,0.11,0.15,0.1,0.07,0.16,0.13,0.08,0.12,0.08,0.14,0.18,0.1,0.13,0.1,0.01,0.05,0.04,0.1,0.14,0.16,0.1,0.09,0.13,0.13,0.13,0.16,0.14,0.15,0.09,0.1,0.08,0.15,0.05,0.25,0.18,0.16,0.2,0.25,0.12,0.04,0.1,0.19,0.19,0.1,0.09,0.06,0.09,0.15,0.17,0.18,0.14,0.12,0.12,0.12,0.18,0.13,0.17,0.23,0.1,0.12,0.18,0.07,0.12,0.17,0.07,0.16,0.21,0.17,0.18,0.06,0.13,0.05,0.18,0.09,0.18,0.09,0.11,0.31,0.03,0.18,0.13,0.11,0.12,0.17,0.22,0.05,0.09,0.17,0.24,0.13,0.11,0.14,0.04,0.16,0.17,0.09,0.2,0.25,0.09,0.12,0.12,0.16,0.11,0.12,0.15,0.14,0.18,0.18,0.11,0.19,0.22,0.17,0.13,0.09,0.1,0.11,0.09,0.15,0.06,0.12,0.14,0.16,0.06,0.13,0.06,0.13,0.15,0.15,0.11,0.13,0.22,0.11,0.18,0.14,0.11,0.15,0.21,0.13,0.21,0.15,0.08,0.19,0.15,0.09,0.1,0.27,0.11,0.13,0.07,0.09,0.12,0.06,0.09,0.1,0.04,0.08,0.12,0.15,0.16,0.14,0.12,0.07,0.18,0.16,0.15,0.08,0.14,0.15,0.13,0.09,0.13,0.06,0.07,0.05,0.13,0.17,0.13,0.14,0.06,0.08,0.09,0.14
100,0.05,0.13,0.08,0.13,0.13,0.06,0.12,0.11,0.12,0.06,0.04,0.08,0.09,0.11,0.05,0.15,0.13,0.14,0.08,0.22,0.09,0.04,0.12,0.05,0.12,0.13,0.09,0.12,0.15,0.12,0.08,0.12,0.05,0.08,0.06,0.15,0.09,0.08,0.14,0.05,0.06,0.14,0.12,0.1,0.23,0.15,0.15,0.08,0.13,0.14,0.09,0.21,0.14,0.21,0.1,0.15,0.09,0.08,0.13,0.13,0.1,0.15,0.09,0.2,0.03,0.16,0.04,0.17,0.17,0.21,0.14,0.21,0.11,0.1,0.23,0.1,0.09,0.19,0.13,0.1,0.13,0.15,0.07,0.09,0.2,0.16,0.11,0.12,0.15,0.1,0.2,0.18,0.09,0.09,0.08,0.3,0.07,0.21,0.12,0.04,0.09,0.17,0.17,0.13,0.08,0.13,0.18,0.15,0.08,0.21,0.11,0.04,0.2,0.01,0.16,0.2,0.07,0.04,0.1,0.12,0.11,0.12,0.23,0.19,0.1,0.19,0.15,0.19,0.12,0.16,0.04,0.07,0.12,0.06,0.08,0.07,0.14,0.12,0.04,0.16,0.07,0.08,0.13,0.12,0.23,0.11,0.11,0.13,0.27,0.11,0.09,0.12,0.17,0.16,0.2,0.12,0.1,0.12,0.06,0.12,0.13,0.17,0.09,0.14,0.08,0.12,0.1,0.16,0.12,0.07,0.11,0.09,0.04,0.09,0.06,0.15,0.18,0.12,0.09,0.09,0.24,0.16,0.12,0.07,0.2,0.1,0.07,0.07,0.15,0.07,0.09,0.05,0.12,0.12,0.13,0.14,0.05,0.11,0.13,0.14
120,0.06,0.07,0.06,0.09,0.16,0.02,0.06,0.1,0.08,0.08,0.06,0.06,0.07,0.11,0.03,0.09,0.09,0.1,0.1,0.08,0.1,0.07,0.1,0.05,0.12,0.03,0.03,0.19,0.1,0.11,0.08,0.14,0.01,0.08,0,0.15,0.13,0.06,0.07,0.09,0.1,0.18,0.07,0.05,0.06,0.09,0.12,0.16,0.07,0.21,0.09,0.17,0.12,0.13,0.06,0.19,0.07,0.09,0.12,0.15,0.16,0.13,0.1,0.09,0.04,0.07,0.16,0.12,0.16,0.19,0.1,0.2,0.2,0.1,0.2,0.13,0.1,0.11,0.26,0.08,0.17,0.18,0.11,0.09,0.19,0.09,0.1,0.19,0.12,0.11,0.18,0.17,0.18,0.07,0.11,0.25,0.04,0.25,0.13,0.05,0.16,0.08,0.13,0.12,0.19,0.04,0.14,0.14,0.09,0.11,0.11,0.09,0.2,0.12,0.12,0.15,0.13,0.08,0.15,0.07,0.08,0.11,0.13,0.2,0.07,0.18,0.14,0.15,0.16,0.09,0.06,0.09,0.09,0.05,0.08,0.05,0.14,0.12,0.17,0.18,0.05,0.07,0.01,0.11,0.15,0.08,0.06,0.13,0.27,0.1,0.22,0.09,0.16,0.07,0.14,0.11,0.11,0.14,0.06,0.05,0.1,0.06,0.09,0.19,0.16,0.17,0.1,0.12,0.08,0.11,0.12,0.09,0.06,0.12,0.07,0.16,0.11,0.06,0.09,0.09,0.25,0.16,0.17,0.06,0.11,0.12,0.03,0.11,0.17,0.04,0.09,0.06,0.06,0.12,0.13,0.12,0.07,0.2,0.08,0.12
140,0.01,0.07,0.07,0.13,0.08,0.05,0.09,0.03,0.08,0.03,0.04,0.05,0.06,0.17,0.03,0.04,0.07,0.13,0.07,0.06,0.07,0.06,0.12,0.04,0.04,0.11,0.09,0.1,0.15,0.12,0.06,0.13,0.04,0.03,0.01,0.02,0.08,0.05,0.08,0.08,0.04,0.1,0.13,0.05,0.09,0.08,0.17,0.1,0.12,0.23,0.14,0.22,0.11,0.14,0.13,0.12,0.09,0.05,0.1,0.23,0.14,0.11,0.04,0.1,0.04,0.04,0.18,0.11,0.19,0.08,0.09,0.23,0.22,0.1,0.29,0.09,0.19,0.1,0.22,0.12,0.25,0.2,0.1,0.07,0.28,0.09,0.12,0.16,0.13,0.11,0.21,0.16,0.2,0.07,0.07,0.3,0.09,0.15,0.16,0.03,0.12,0.07,0.13,0.1,0.1,0.07,0.13,0.13,0.12,0.21,0.11,0.12,0.21,0.05,0.17,0.17,0.05,0.06,0.07,0.13,0.04,0.09,0.12,0.17,0.04,0.18,0.18,0.22,0.1,0.04,0.08,0.06,0.06,0.05,0.1,0.09,0.08,0.14,0.13,0.18,0.07,0.09,0.04,0.1,0.06,0.07,0.08,0.16,0.18,0.08,0.14,0.11,0.07,0.08,0.14,0.03,0.12,0.12,0.04,0.05,0.11,0.07,0.11,0.21,0.11,0.05,0.12,0.21,0.06,0.08,0.12,0.13,0.02,0.09,0.1,0.1,0.14,0.06,0.12,0.1,0.23,0.11,0.11,0.12,0.12,0.11,0.07,0.08,0.16,0.02,0.15,0.03,0.06,0.06,0.18,0.14,0.03,0.15,0.04,0.12
160,0.04,0.09,0.05,0.08,0.02,0.06,0.06,0.05,0.06,0.08,0.07,0.05,0.09,0.07,0.02,0.02,0.04,0.1,0.03,0.04,0.02,0.02,0.04,0.02,0.1,0.09,0.06,0.07,0.15,0.08,0.11,0.11,0.09,0.02,0.04,0.06,0.04,0.04,0.03,0.03,0.07,0.12,0.07,0.1,0.12,0.19,0.15,0.16,0.09,0.23,0.11,0.2,0.16,0.08,0.11,0.08,0.07,0.04,0.1,0.18,0.11,0.18,0.06,0.12,0.05,0.03,0.13,0.08,0.11,0.11,0.09,0.16,0.24,0.11,0.31,0.09,0.13,0.13,0.24,0.06,0.19,0.14,0.07,0.05,0.2,0.05,0.14,0.19,0.14,0.19,0.21,0.17,0.17,0.06,0.07,0.33,0.03,0.25,0.14,0.02,0.18,0.14,0.1,0.04,0.26,0.11,0.19,0.13,0.21,0.06,0.04,0.11,0.21,0.1,0.16,0.17,0.05,0.02,0.04,0.19,0.08,0.08,0.04,0.11,0.07,0.12,0.2,0.18,0.09,0.05,0.08,0.06,0.09,0.05,0.08,0.16,0.07,0.17,0.19,0.1,0.1,0.05,0.04,0.06,0.08,0.17,0.01,0.11,0.23,0.09,0.13,0.08,0.12,0.13,0.1,0.03,0.11,0.14,0.01,0.09,0.17,0.02,0.09,0.22,0.15,0.09,0.13,0.18,0.15,0.04,0.07,0.08,0.03,0.08,0.03,0.22,0.08,0.06,0.03,0.05,0.27,0.14,0.18,0.07,0.11,0.08,0.06,0.03,0.04,0.02,0.13,0.03,0.04,0.09,0.19,0.09,0.09,0.15,0.05,0.06
