tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,13206,0,148116,0,1.87397e+06,0,29619.7,0
20,0,9181.66,0,102749,0,1.30011e+06,0,20565.5,0
40,0,5951.56,0,66356.5,0,839597,0,13300.9,0
60,0,4383.57,0,48745.3,0,616728,0,9781.05,0
80,0,3437.08,0,38115.8,0,482270,0,7658.33,0
100,0,2739.29,0,30289.3,0,383195,0,6094.99,0
120,0,2284.16,0,25198.9,0,318792,0,5078.4,0
140,0,1931.95,0,21282.9,0,269236,0,4295.85,0
160,0,1675.32,0,18431,0,233160,0,3725.91,0
180,0,1454.45,0,15980.5,0,202142,0,3234.39,0
200,0,1286.13,0,14116.2,0,178567,0,2860.54,0
220,0,1137.98,0,12479.5,0,157855,0,2531.32,0
240,0,1022.35,0,11203.4,0,141710,0,2275.01,0
260,0,920.673,0,10085.7,0,127567,0,2050.15,0
280,0,832.954,0,9117.66,0,115317,0,1854.94,0
300,0,754.437,0,8255.6,0,104075,0,1680.9,0
320,0,689.91,0,7549.66,0,95477.6,0,1538.48,0
340,0,634.413,0,6941.9,0,87787.5,0,1415.62,0
360,0,583.19,0,6379.53,0,80669,0,1301.86,0
380,0,544.227,0,5952.42,0,75267.7,0,1215.56,0
400,0,503.672,0,5509.75,0,69665.9,0,1126.05,0
420,0,461.787,0,5050.42,0,63854.6,0,1032.86,0
440,0,429.426,0,4696.88,0,59381.8,0,961.192,0
460,0,403.193,0,4411.94,0,55775.4,0,903.477,0
480,0,371.22,0,4061.2,0,51336.6,0,832.067,0
500,0,351.323,0,3843.93,0,48585.7,0,787.986,0
520,0,330.047,0,3611.9,0,45649.7,0,740.867,0
540,0,310.616,0,3399.26,0,42957.6,0,697.61,0
560,0,290.244,0,3176.51,0,40139,0,652.213,0
580,0,272.972,0,2988.2,0,37757.2,0,613.883,0
600,0,257.011,0,2815,0,35566.8,0,578.64,0
620,0,242.402,0,2655.09,0,33543.1,0,546.034,0
640,0,227.283,0,2490.43,0,31461,0,512.401,0
660,0,214.741,0,2353.31,0,29726.3,0,484.412,0
680,0,202.62,0,2221.36,0,28057.6,0,457.447,0
700,0,192.861,0,2115.06,0,26713,0,435.763,0
720,0,181.429,0,1990.28,0,25135.9,0,410.228,0
740,0,171.14,0,1877.96,0,23715.8,0,387.236,0
760,0,163.703,0,1796.51,0,22684.8,0,370.565,0
780,0,153.892,0,1689.15,0,21327.8,0,348.545,0
