tick,48,46,43,49,42,38,37,33,31,29,44,12,39,11,18,9,36,1,22,8,40,0,17,41,28,19,4,5,45,30,6,3,47,16,7,10,35,27,13,15,34,14,32,26,20,21,23,24,2,25
0,0.11,0.15,0.07,0.08,0.04,0.08,0.11,0.16,0.2,0.06,0.07,0.1,0.1,0.14,0.2,0.1,0.06,0.08,0.11,0.19,0.13,0.06,0.06,0.14,0.08,0.06,0.15,0.08,0.11,0.08,0.06,0.13,0.19,0.09,0.15,0.07,0.13,0.1,0.08,0.08,0.09,0.06,0.05,0.11,0.03,0.09,0.03,0.09,0.12,0.09
20,0.19,0.1,0.17,0.2,0.17,0.15,0.13,0.21,0.24,0.14,0.09,0.2,0.2,0.23,0.23,0.21,0.09,0.24,0.18,0.16,0.29,0.01,0.26,0.13,0.2,0.24,0.12,0.23,0.17,0.11,0.15,0.19,0.18,0.24,0.17,0.17,0.24,0.18,0.2,0.12,0.23,0.21,0.14,0.12,0.23,0.24,0.13,0.34,0.19,0.07
40,0.28,0.26,0.2,0.33,0.18,0.32,0.26,0.26,0.38,0.29,0.19,0.18,0.42,0.44,0.25,0.39,0.3,0.25,0.21,0.27,0.46,0,0.22,0.23,0.25,0.37,0.33,0.33,0.28,0.19,0.25,0.25,0.35,0.25,0.39,0.19,0.29,0.21,0.31,0.4,0.28,0.19,0.22,0.22,0.3,0.36,0.18,0.43,0.18,0.2
60,0.31,0.39,0.37,0.44,0.29,0.33,0.39,0.18,0.31,0.49,0.18,0.15,0.36,0.4,0.39,0.42,0.39,0.33,0.27,0.38,0.53,0.03,0.29,0.36,0.34,0.45,0.48,0.38,0.34,0.29,0.26,0.4,0.36,0.45,0.39,0.2,0.34,0.28,0.49,0.38,0.35,0.55,0.35,0.35,0.24,0.38,0.22,0.47,0.2,0.33
80,0.45,0.55,0.37,0.52,0.38,0.36,0.52,0.37,0.43,0.49,0.41,0.58,0.61,0.44,0.52,0.51,0.48,0.66,0.42,0.49,0.47,0.03,0.42,0.21,0.52,0.5,0.46,0.52,0.63,0.4,0.44,0.38,0.47,0.56,0.47,0.47,0.55,0.25,0.62,0.51,0.63,0.63,0.49,0.31,0.53,0.52,0.54,0.54,0.37,0.31
100,0.46,0.51,0.64,0.58,0.38,0.35,0.62,0.48,0.44,0.45,0.41,0.66,0.5,0.4,0.36,0.39,0.55,0.39,0.59,0.22,0.23,0.09,0.55,0.23,0.35,0.51,0.5,0.49,0.38,0.68,0.59,0.52,0.52,0.59,0.55,0.51,0.47,0.35,0.58,0.48,0.4,0.58,0.47,0.33,0.49,0.51,0.62,0.63,0.44,0.37
120,0.45,0.37,0.61,0.49,0.38,0.18,0.63,0.61,0.47,0.45,0.35,0.59,0.55,0.48,0.42,0.34,0.58,0.46,0.45,0.45,0.31,0.07,0.55,0.24,0.49,0.38,0.58,0.42,0.31,0.64,0.57,0.44,0.64,0.55,0.55,0.49,0.53,0.36,0.3,0.5,0.25,0.64,0.47,0.31,0.48,0.54,0.48,0.46,0.51,0.36
140,0.41,0.32,0.52,0.44,0.49,0.26,0.69,0.56,0.51,0.53,0.43,0.63,0.47,0.55,0.56,0.4,0.6,0.55,0.52,0.57,0.23,0.12,0.65,0.32,0.46,0.34,0.44,0.4,0.3,0.54,0.5,0.45,0.56,0.61,0.53,0.5,0.59,0.42,0.41,0.53,0.33,0.61,0.41,0.43,0.58,0.39,0.3,0.5,0.39,0.36
160,0.47,0.39,0.55,0.34,0.54,0.25,0.57,0.46,0.51,0.36,0.33,0.47,0.41,0.49,0.51,0.38,0.64,0.45,0.55,0.54,0.22,0.07,0.47,0.38,0.46,0.31,0.41,0.41,0.32,0.45,0.55,0.32,0.52,0.45,0.65,0.45,0.52,0.33,0.33,0.5,0.42,0.47,0.4,0.42,0.4,0.41,0.33,0.52,0.32,0.36
180,0.47,0.47,0.6,0.48,0.51,0.23,0.47,0.5,0.4,0.43,0.48,0.48,0.54,0.46,0.5,0.44,0.66,0.44,0.38,0.62,0.21,0.08,0.53,0.36,0.48,0.25,0.39,0.49,0.24,0.55,0.39,0.25,0.55,0.48,0.58,0.38,0.58,0.34,0.31,0.54,0.41,0.48,0.35,0.51,0.46,0.41,0.25,0.45,0.45,0.34
200,0.32,0.38,0.64,0.34,0.53,0.33,0.46,0.56,0.38,0.42,0.36,0.38,0.37,0.48,0.62,0.53,0.55,0.39,0.53,0.61,0.33,0.19,0.45,0.29,0.46,0.29,0.42,0.45,0.17,0.56,0.48,0.32,0.5,0.36,0.61,0.39,0.52,0.35,0.36,0.48,0.41,0.57,0.38,0.55,0.51,0.57,0.38,0.41,0.29,0.37
220,0.35,0.39,0.56,0.38,0.38,0.38,0.54,0.62,0.42,0.35,0.34,0.58,0.44,0.53,0.48,0.55,0.56,0.4,0.39,0.51,0.37,0.08,0.44,0.36,0.44,0.31,0.49,0.37,0.14,0.59,0.52,0.26,0.42,0.46,0.46,0.29,0.53,0.32,0.36,0.59,0.43,0.46,0.44,0.64,0.5,0.57,0.36,0.43,0.36,0.36
240,0.38,0.39,0.51,0.32,0.47,0.47,0.56,0.61,0.57,0.41,0.48,0.58,0.47,0.55,0.42,0.59,0.65,0.33,0.49,0.53,0.47,0.1,0.5,0.29,0.47,0.27,0.51,0.55,0.17,0.54,0.52,0.29,0.49,0.36,0.48,0.31,0.56,0.21,0.38,0.58,0.45,0.68,0.39,0.51,0.44,0.57,0.54,0.51,0.41,0.36
260,0.49,0.41,0.53,0.4,0.45,0.46,0.64,0.65,0.44,0.41,0.54,0.6,0.52,0.63,0.49,0.59,0.62,0.35,0.38,0.41,0.43,0.12,0.47,0.25,0.39,0.3,0.61,0.65,0.19,0.57,0.48,0.32,0.46,0.42,0.42,0.35,0.56,0.1,0.35,0.67,0.52,0.67,0.43,0.54,0.47,0.52,0.48,0.32,0.33,0.32
280,0.51,0.36,0.63,0.36,0.43,0.32,0.65,0.63,0.44,0.39,0.35,0.67,0.58,0.59,0.58,0.61,0.67,0.27,0.33,0.4,0.39,0.14,0.5,0.41,0.56,0.3,0.46,0.7,0.19,0.52,0.62,0.32,0.31,0.39,0.42,0.46,0.56,0.18,0.34,0.52,0.66,0.66,0.54,0.59,0.49,0.49,0.66,0.48,0.41,0.37
