tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5669.62,0,63258.8,0,800162,0,12641.5,0
20,0,5668.97,0,63255.5,0,800146,0,12638.9,0
40,0,5668.53,0,63256.2,0,800129,0,12640.1,0
60,0,5669.3,0,63266,0,800117,0,12650.4,0
80,0,5672.03,0,63290.3,0,800121,0,12675,0
100,0,5677.34,0,63330,0,800146,0,12714.3,0
120,0,3488.99,0,38797.6,0,490133,0,7820.54,0
140,0,2937.5,0,32717.4,0,412460,0,6645.44,0
160,0,2947.38,0,32793.8,0,412546,0,6716.12,0
180,0,2957.72,0,32874.8,0,412642,0,6789.11,0
200,0,2969.44,0,32962.1,0,412745,0,6866.2,0
220,0,2982.54,0,33054.2,0,412852,0,6946.23,0
240,0,2027.28,0,22390.7,0,279670,0,4728.04,0
260,0,2042.16,0,22485.9,0,279777,0,4809.78,0
280,0,1819.77,0,20000.9,0,248047,0,4317.64,0
300,0,1833.25,0,20087.9,0,248147,0,4389.46,0
320,0,1848.54,0,20184.7,0,248260,0,4467.07,0
340,0,1863.39,0,20278.2,0,248369,0,4541.13,0
360,0,1455.49,0,15781.2,0,189990,0,3553.45,0
380,0,1361.58,0,14680.9,0,179020,0,3346.51,0
400,0,1376.29,0,14769.4,0,179123,0,3414.33,0
420,0,1258.16,0,13473.2,0,163257,0,3121.65,0
440,0,1272.53,0,13560.3,0,163359,0,3186.63,0
460,0,1285.79,0,13641.1,0,163456,0,3245.48,0
480,0,1059.09,0,11178.8,0,133771,0,2677.96,0
500,0,974.949,0,10248.2,0,122195,0,2482.57,0
520,0,988.177,0,10327.6,0,122293,0,2538.47,0
540,0,1001.42,0,10409.2,0,122396,0,2594.84,0
560,0,923.404,0,9605.34,0,113275,0,2384.57,0
580,0,935.311,0,9680.36,0,113372,0,2435.77,0
600,0,804.338,0,8270.44,0,96418.4,0,2107.29,0
620,0,731.619,0,7487.74,0,86948.9,0,1928.74,0
640,0,742.323,0,7557.8,0,87043.9,0,1974.2,0
660,0,753.138,0,7629.66,0,87144.2,0,2019.42,0
680,0,763.849,0,7702.89,0,87250.1,0,2064.73,0
700,0,703.781,0,7125.49,0,81349,0,1891,0
720,0,616.74,0,6192.35,0,70007.5,0,1677.66,0
740,0,567.337,0,5658.78,0,63598.8,0,1552.82,0
760,0,576.877,0,5728.13,0,63706.9,0,1594.37,0
780,0,585.976,0,5795.03,0,63811.5,0,1633.3,0
800,0,595.242,0,5864.81,0,63925.6,0,1673.19,0
820,0,597.719,0,5868.3,0,63482.2,0,1689.32,0
840,0,483.599,0,4734.73,0,51349.6,0,1372.86,0
860,0,459.387,0,4459.34,0,47777.5,0,1315.78,0
880,0,467.892,0,4527.08,0,47895.6,0,1352.52,0
900,0,478.02,0,4607.13,0,48041.3,0,1395.07,0
920,0,488.802,0,4692.88,0,48202.5,0,1439.91,0
940,0,500.182,0,4782.97,0,48378.4,0,1486.73,0
960,0,442.403,0,4206.75,0,42405.2,0,1326.84,0
980,0,392.001,0,3696.78,0,36847.6,0,1183.91,0
1000,0,403.894,0,3793.24,0,37045.6,0,1234.07,0
1020,0,415.309,0,3888.39,0,37249.9,0,1282.75,0
1040,0,427.356,0,3990.5,0,37478,0,1334.47,0
1060,0,441.215,0,4104.93,0,37746.8,0,1392.78,0
1080,0,424.501,0,3895.83,0,34448.7,0,1365.99,0
1100,0,368.893,0,3370.58,0,29694.8,0,1197.04,0
1120,0,369.941,0,3379.81,0,29304.6,0,1208.28,0
1140,0,383.311,0,3497.85,0,29605.5,0,1266.74,0
1160,0,398.923,0,3634.11,0,29968.8,0,1333.92,0
1180,0,414.246,0,3770.08,0,30337.4,0,1400.69,0
1200,0,407.54,0,3646.17,0,28026.9,0,1397.85,0
1220,0,398.529,0,3551.94,0,26227.5,0,1392.2,0
1240,0,361.614,0,3244.77,0,24272.2,0,1266.04,0
1260,0,379.184,0,3405.63,0,24759.8,0,1346.39,0
1280,0,397.576,0,3574.43,0,25283.8,0,1429.46,0
1300,0,418.997,0,3762.34,0,25882,0,1522.99,0
1320,0,411.168,0,3642.3,0,24305.6,0,1505.31,0
1340,0,390.357,0,3493.56,0,22428.3,0,1467.48,0
1360,0,410.093,0,3685.28,0,23095.9,0,1562.52,0
1380,0,378.237,0,3433.39,0,21492.4,0,1450.32,0
1400,0,398.163,0,3627.83,0,22191.9,0,1548.12,0
1420,0,416.639,0,3820.26,0,22907.9,0,1642.71,0
1440,0,394.574,0,3565.03,0,21012.8,0,1556.41,0
1460,0,367.623,0,3408.82,0,19805.5,0,1505.05,0
1480,0,382.42,0,3597.74,0,20592.1,0,1601.15,0
1500,0,392.321,0,3766.38,0,21337.6,0,1687.56,0
1520,0,361.632,0,3527.6,0,20035.2,0,1582.88,0
1540,0,368.686,0,3686.81,0,20804.4,0,1668.47,0
1560,0,330.71,0,3351.65,0,18871.8,0,1526.96,0
1580,0,293.275,0,3132.03,0,17663.5,0,1436.59,0
1600,0,291.977,0,3267.25,0,18397.6,0,1507.05,0
1620,0,288.025,0,3381.95,0,19065,0,1564.57,0
1640,0,276.595,0,3388.55,0,19188.4,0,1571.32,0
1660,0,256.065,0,3283.74,0,18660.2,0,1517.15,0
1680,0,225.008,0,2964.84,0,16821.5,0,1362.35,0
1700,0,203.074,0,2753.57,0,15677,0,1275.93,0
1720,0,201.45,0,2851.84,0,16309.9,0,1327.95,0
1740,0,202.576,0,2946.1,0,16890.3,0,1381.41,0
1760,0,203.755,0,3034.53,0,17460.6,0,1437.41,0
1780,0,199.169,0,3016.11,0,17479.6,0,1438.03,0
1800,0,167.371,0,2542.14,0,14744.8,0,1199.05,0
1820,0,153.164,0,2334.87,0,13608.9,0,1111.77,0
1840,0,154.765,0,2391.35,0,14138.1,0,1159.2,0
