tick,mnist,conv1,pool1,conv2,pool2,ip1,relu1,ip2,loss
0,0,5666.48,0,63281.7,0,800186,0,12657,0
20,0,5665.53,0,63278.1,0,800171,0,12654.7,0
40,0,5664.8,0,63277.5,0,800150,0,12656.2,0
60,0,5665,0,63285.4,0,800136,0,12665.5,0
80,0,3465.21,0,38624.7,0,488178,0,7739.84,0
100,0,2928.71,0,32589.7,0,411362,0,6551.44,0
120,0,2931.91,0,32626.1,0,411392,0,6585.02,0
140,0,2935.92,0,32667.7,0,411432,0,6622.7,0
160,0,1994.83,0,22133.2,0,278660,0,4492.32,0
180,0,1773.42,0,19661.6,0,247182,0,4016.64,0
200,0,1777.45,0,19698.9,0,247218,0,4050.18,0
220,0,1781.46,0,19735.9,0,247254,0,4082.57,0
240,0,1290.01,0,14240,0,178422,0,2938.32,0
260,0,1293.58,0,14269.2,0,178447,0,2964.13,0
280,0,1178.4,0,12991.2,0,162339,0,2712.13,0
300,0,1181.14,0,13014.4,0,162357,0,2732.05,0
320,0,893.847,0,9826.95,0,122691,0,2056.23,0
340,0,888.28,0,9755.91,0,121594,0,2051.73,0
360,0,854.942,0,9383.64,0,116892,0,1980.9,0
380,0,821.123,0,9008.97,0,112122,0,1907.81,0
400,0,638.616,0,6997.58,0,87152.7,0,1476.74,0
420,0,630.387,0,6897.05,0,85798.1,0,1460.96,0
440,0,631.423,0,6904.48,0,85798,0,1467.33,0
460,0,586.442,0,6413.6,0,79717.1,0,1364.69,0
480,0,466.75,0,5099.76,0,63420.7,0,1082.86,0
500,0,454.455,0,4961.89,0,61656.1,0,1056.21,0
520,0,455.022,0,4965.63,0,61653.6,0,1059.48,0
540,0,452.036,0,4932.12,0,61202,0,1054.21,0
560,0,361.713,0,3946.6,0,49023.2,0,841.783,0
580,0,332.506,0,3626.92,0,45035.4,0,774.18,0
600,0,332.859,0,3629.17,0,45032.2,0,776.164,0
620,0,333.151,0,3631.11,0,45028.9,0,777.859,0
640,0,257.292,0,2814.19,0,34941.8,0,601.658,0
660,0,244.887,0,2670.27,0,33136.5,0,571.187,0
680,0,245.061,0,2671.42,0,33133.6,0,572.224,0
700,0,245.226,0,2672.52,0,33130.8,0,573.187,0
720,0,208.511,0,2270.34,0,28134.3,0,487.095,0
740,0,181.925,0,1984.22,0,24611,0,425.021,0
760,0,182.034,0,1984.95,0,24608.4,0,425.676,0
780,0,182.129,0,1985.62,0,24606.2,0,426.279,0
800,0,158.526,0,1726.8,0,21388.8,0,371.119,0
820,0,141.766,0,1547.57,0,19176.7,0,332.134,0
840,0,135.937,0,1482.66,0,18370.9,0,318.388,0
860,0,136.001,0,1483.16,0,18369.2,0,318.831,0
880,0,115.095,0,1253.84,0,15522.2,0,269.751,0
900,0,109.71,0,1195.48,0,14795.3,0,257.377,0
920,0,102.81,0,1122.81,0,13902.5,0,241.63,0
940,0,101.766,0,1110.4,0,13743.1,0,239.211,0
960,0,88.8384,0,969.507,0,11995.2,0,209.003,0
980,0,82.4708,0,899.327,0,11122.2,0,194.011,0
1000,0,81.2075,0,886.524,0,10959.7,0,191.509,0
1020,0,76.8466,0,839.096,0,10375.2,0,181.26,0
1040,0,68.0588,0,742.826,0,9181.95,0,160.582,0
1060,0,62.3637,0,680.601,0,8409.5,0,147.209,0
1080,0,62.3938,0,680.965,0,8408.96,0,147.573,0
1100,0,58.9698,0,644.884,0,7964.05,0,139.888,0
1120,0,51.2234,0,559.378,0,6905.47,0,121.42,0
1140,0,47.1663,0,515.006,0,6354.5,0,111.875,0
1160,0,47.1923,0,515.373,0,6354.32,0,112.259,0
1180,0,47.2179,0,515.776,0,6354.22,0,112.691,0
1200,0,39.7387,0,434.894,0,5359.35,0,94.9267,0
1220,0,35.8529,0,391.897,0,4827.14,0,85.5814,0
1240,0,35.8766,0,392.307,0,4827.23,0,86.0298,0
1260,0,35.9004,0,392.747,0,4827.42,0,86.5161,0
1280,0,31.1927,0,342.002,0,4203.27,0,75.3308,0
1300,0,27.3646,0,299.493,0,3679.31,0,65.9719,0
1320,0,27.3864,0,299.935,0,3679.72,0,66.5161,0
1340,0,27.409,0,300.436,0,3680.28,0,67.1348,0
1360,0,24.1217,0,264.571,0,3239.23,0,59.1663,0
1380,0,21.1499,0,232.178,0,2842.06,0,51.8815,0
1400,0,20.91,0,229.635,0,2805.56,0,51.8887,0
1420,0,20.9307,0,230.169,0,2806.46,0,52.6471,0
1440,0,18.6286,0,204.929,0,2496.26,0,47.0508,0
1460,0,16.7394,0,184.359,0,2244.44,0,42.2546,0
1480,0,15.9838,0,176.25,0,2141.05,0,40.9218,0
1500,0,16.0021,0,176.886,0,2142.36,0,41.7528,0
1520,0,14.4732,0,160.129,0,1937.36,0,37.9241,0
1540,0,13.1114,0,145.093,0,1752.33,0,34.3423,0
1560,0,12.5578,0,139.586,0,1682.24,0,33.5488,0
1580,0,12.2941,0,137.015,0,1643.76,0,33.754,0
1600,0,11.07,0,123.501,0,1479.72,0,30.522,0
1620,0,10.0929,0,112.604,0,1346.76,0,27.8083,0
1640,0,9.8364,0,110.456,0,1314.73,0,28.019,0
1660,0,9.62924,0,108.675,0,1286.29,0,28.4123,0
1680,0,8.51879,0,96.2423,0,1137.03,0,25.3309,0
1700,0,7.79523,0,88.0531,0,1038,0,23.1073,0
1720,0,7.8189,0,89.0514,0,1041.1,0,24.4656,0
1740,0,7.53786,0,86.6357,0,1006.99,0,24.7407,0
1760,0,6.60617,0,76.0405,0,882.189,0,21.9443,0
1780,0,6.02892,0,69.3437,0,802.707,0,20.0352,0
1800,0,6.05759,0,70.5353,0,806.769,0,21.6034,0
1820,0,5.97247,0,70.5058,0,796.302,0,22.7167,0
1840,0,5.26745,0,62.5186,0,704.81,0,20.518,0
1860,0,4.69915,0,55.4528,0,624.88,0,17.7196,0
1880,0,4.73809,0,56.8564,0,629.914,0,19.2493,0
1900,0,4.77619,0,58.348,0,635.421,0,20.79,0
1920,0,4.29312,0,52.7488,0,573.928,0,18.9888,0
1940,0,3.70774,0,45.3243,0,491.633,0,15.8597,0
1960,0,3.72596,0,46.5578,0,495.81,0,17.2476,0
1980,0,3.77299,0,48.3238,0,503.209,0,19.0974,0
2000,0,3.43122,0,44.5942,0,461.848,0,18.3783,0
2020,0,2.99428,0,38.5184,0,399.43,0,15.1987,0
2040,0,2.95008,0,38.8874,0,394.751,0,16.3953,0
2060,0,3.01048,0,40.9323,0,404.288,0,18.5158,0
2080,0,2.77592,0,38.4723,0,378.317,0,18.2076,0
2100,0,2.44,0,33.3275,0,327.461,0,15.2467,0
2120,0,2.37576,0,33.4885,0,322.341,0,16.1947,0
2140,0,2.45585,0,35.6897,0,333.305,0,18.3487,0
2160,0,2.24806,0,33.304,0,311.332,0,17.6722,0
2180,0,2.04141,0,30.0525,0,278.815,0,16.0161,0
